No,ECAR PART,SUBPART,Subpart Section,Subpart Subsection,SUBPART HEADING,SUBPART SECTION HEADING,REGULATION  STATEMENT
19,121,A,121.200,-,General, Definitions for the purpose of this Part,"(3) A corporation or association created or organized under the Egyptian laws of which
the president and two-thirds or more of the board of directors and other managing
officers thereof are such individuals and in which at least 51 percent of the voting
interest is owned or controlled by persons who are Egyptian citizens."
20,121,A,121.200,E,General, Definitions for the purpose of this Part,"(e) “Common carriage” means the carriage of persons or property for compensation and hire.
A ”common carrier"" means an operation in which the main purpose is for compensation
and hire."
21,121,A,121.300,A,General,General requirements,A person may not operate as an air operator unless that person:
22,121,A,121.300,A,General,General requirements,(a) Is a citizen of the Arab Republic of Egypt;
23,121,A,121.300,B,General,General requirements,(b) Obtains an air carrier or air taxi certificate; and
24,121,A,121.300,C,General,General requirements,"(c) Obtains operations specifications that prescribe the authorizations, limitations, and
procedures under which each kind of operation must be conducted"
25,121,A,121.400,A,General,"Compliance with laws, regulations and procedures","(a) The operator shall ensure that all employees when abroad know that they must comply
with the laws, regulations and procedures of those States in which their operations are
conducted"
26,121,A,121.400,B,General,"Compliance with laws, regulations and procedures","(b) The operator shall ensure that all pilots are familiar with the laws, regulations and
procedures, pertinent to the performance of their duties, prescribed for the areas to be
traversed, the heliports to be used and the air navigation facilities relating thereto. The
operator shall ensure that other members of the flight crew are familiar with such of these
regulations and procedures as are pertinent to the performance of their respective duties in
the operation of the helicopter.
Note.— Information for pilots and flight operations personnel on flight procedure parameters
and operational procedures is contained in PANS-OPS (Doc 8168), Volume I. Criteria for
the construction of visual and instrument flight procedures are contained in PANS-OPS
(Doc 8168), Volume II. Obstacle clearance criteria and procedures used in certain States
may differ from PANS-OPS, and knowledge of these differences is important for safety
reasons."
27,121,A,121.400,C,General,"Compliance with laws, regulations and procedures","(c) An operator or a designated representative shall have responsibility for operational control.
Note.— The rights and obligations of a State in respect to the operation of helicopters
registered in that State are not affected by this provision."
28,121,A,121.400,D,General,"Compliance with laws, regulations and procedures","(d) Responsibility for operational control shall be delegated only to the pilot-in-command and
to a flight operations officer/flight dispatcher if an operator’s approved method of control
and supervision of flight operations requires the use of flight operations officer/flight
dispatcher personnel.
Note.— Guidance on the operational control organization and the role of the flight operations
officer/flight dispatcher is contained in the Manual of Procedures for Operations
Inspection, Certification and Continued Surveillance (Doc 8335).
Detailed guidance on the authorization, duties and responsibilities of the flight operations
officer/flight dispatcher is contained in the manual Preparation of an Operations Manual
(Doc 9376). The requirements for age, skill, knowledge and experience for licensed flight
operations officers/flight dispatchers are contained in ECAR part 65"
29,121,A,121.400,E,General,"Compliance with laws, regulations and procedures","(e) If an emergency situation which endangers the safety of the helicopter or persons becomes
known first to the flight operations officer/flight dispatcher, action by that person in
accordance with ECAR 121.395 shall include, where necessary, notification to the
appropriate authorities of the nature of the situation without delay, and requests for
assistance if required."
30,121,A,121.400,F,General,"Compliance with laws, regulations and procedures","(f) If an emergency situation which endangers the safety of the helicopter or persons
necessitates the taking of action which involves a violation of local regulations or
procedures, the pilot-in-command shall notify the appropriate local authority without
delay. If required by the State in which the incident occurs, the pilot-in-command shall
submit a report on any such violation to the appropriate authority of such State; in that
event, the pilot-in-command shall also submit a copy of it to the State of the Operator.
Such reports shall be submitted as soon as possible and normally within ten days"
31,121,A,121.400,G,General,"Compliance with laws, regulations and procedures","(g) Operators shall ensure that pilots-in-command have available on board the helicopter all
the essential information concerning the search and rescue services in the area over which
the helicopter will be flown."
32,121,A,121.400,H,General,"Compliance with laws, regulations and procedures","(h) Operators shall ensure that flight crew members demonstrate the ability to speak and
understand the language used for radiotelephony communications as specified in Annex 1.
Note.— This information may be made available to the pilot by means of the operations
manual or such other means as is considered appropriate"
33,121,A,121.500,,General,Safety management system:,"All Certificate holders shall show a complete compliance with ECARs, Part 19, by establishing
a safety management system that is acceptable to the ECAA, maintaining it, and completing its
implementation as per the chronology mentioned in this regulation."
34,121,A,121.500,A,General,Safety management system:,"(a) Recommendation.— An operator of a helicopter of a certified take-off mass in excess of 7
000 kg or having a passenger seating configuration of more than 9 and fitted with a flight
data recorder should establish and maintain a flight data analysis programme as part of its
safety management system                                                                                                                Note. — An operator may contract the operation of a flight data analysis programme to another
party while retaining overall responsibility for the maintenance of such a programme."
35,121,A,121.500,B,General,Safety management system:,"(b) A flight data analysis programme shall contain adequate safeguards to protect the source(s)
of the data in accordance with ECAR Part 19.
Note. — Guidance on the establishment of flight data analysis programmes is included in the
Manual on Flight Data Analysis Programmes (FDAP) (Doc 10000)."
36,121,A,121.500,C,General,Safety management system:,"(c) ECAA shall not allow the use of recordings or transcripts of CVR, CARS, Class A AIR
and Class A AIRS for purposes other than the investigation of an accident or incident as
per Annex 13 except where the recordings or transcripts:"
37,121,A,121.500,-,General,Safety management system:,"(1) Are related to a safety-related event identified in the context of a safety management
system; are restricted to the relevant portions of a de-identified transcript of the
recording; and are subject to the protections accorded by Annex 19;"
38,121,A,121.500,-,General,Safety management system:,"(2) Are sought for use in criminal proceedings not related to an event involving an
accident or incident investigation and are subject to the protections accorded by
Annex 19; or"
39,121,A,121.500,-,General,Safety management system:,"(3) Are used for inspections of flight recorder systems as provided in Section 6 of
Appendix 4.
Note.— Provisions on the protection of safety data, safety information and related sources
are contained in Appendix 3 to Annex 19. When an investigation under Annex 13 is
instituted, investigation records are subject to the protections accorded by Annex 13."
40,121,A,121.500,D,General,Safety management system:,"(d) ECAA shall not allow the use of recordings or transcripts of FDR, ADRS as well as Class
B and Class C AIR and AIRS for purposes other than the investigation of an accident or
incident as per Annex 13, except where the recordings or transcripts are subject to the
protections accorded by Annex 19 and:"
41,121,A,121.500,-,General,Safety management system:,(1) Are used by the operator for airworthiness or maintenance purposes;
42,121,A,121.500,-,General,Safety management system:,"(2) Are used by the operator in the operation of a flight data analysis programme as
provided in Section II of this Annex;"
43,121,A,121.500,-,General,Safety management system:,"(3) Are sought for use in proceedings not related to an event involving an accident or
incident investigation;"
44,121,A,121.500,-,General,Safety management system:,(4) Are de-identified; or
45,121,A,121.500,-,General,Safety management system:,"(5) Are disclosed under secure procedures.
Note.— Provisions on the protection of safety data, safety information and related sources
are contained in ECAR Part 19"
46,121,A,121.500,E,General,Safety management system:,"(e) An operator shall establish a flight safety documents system, for the use and guidance of
operational personnel, as part of its safety management system.
Note.— Guidance on the development and organization of a flight safety documents system is
provided in Attachment F."
47,121,A,121.600,A,General,Leasing of aircraft,(a) Definitions
48,121,A,121.600,-,General,Leasing of aircraft,"(1) Lease: Any agreement by a person (the lessor) to furnish an aircraft to another person
(the lessee) to be used for compensation or hire purposes. This does not include an
agreement for the sale of an aircraft or a contract of conditional sale.."
49,121,A,121.600,-,General,Leasing of aircraft,"(2) Dry Lease: Any agreement in which a lessor, (which could be an air carrier, bank, or
leasing company) leases an aircraft without cockpit crewmembers to an air carrier (the
lessee), and in which the lessee maintains operational control."
50,121,A,121.600,-,General,Leasing of aircraft,"(3) Wet Lease: Any agreement in which an Egyptian certificate holder (lessor) leases an
aircraft, with at least one pilot cockpit crewmember, to or from either an Egyptian
operator, foreign air carrier, or a foreign person (the lessee)."
51,121,A,121.600,-,General,Leasing of aircraft,"(4) Damp lease: Any agreement in which an Egyptian certificate holder (lessor) leases an
aircraft, with pilot cockpit crewmember and possibly part of the cabin crew, to or from
either an Egyptian operator, foreign air carrier, or a foreign person (the lessee) and its
generally understood to be wet lease"
52,121,A,121.600,-,General,Leasing of aircraft,"(5) Interchange Agreement: Any agreement between operators (Egyptian or foreign) in
which the operational control of an aircraft is transferred for short periods of time from one operator to another. With this type agreement, the latter operator assumes responsibility for the operational control of the aircraft at the time of transfer."
53,121,A,121.600,-,General,Leasing of aircraft,"(6) Operational Control: With respect to flight operations, means the exercise of authority
over initiating, conducting or terminating a flight."
54,121,A,121.600,-,General,Leasing of aircraft,(7) Lessee: The party using the aircraft under the provisions of a lease.
55,121,A,121.600,-,General,Leasing of aircraft,(8) Lessor: The party furnishing the aircraft under a lease
56,121,A,121.600,-,General,Leasing of aircraft,"(9) Short Term Lease: Any agreement that is not longer than two consecutive months and
the number of days that may be operated per month does not exceed five days and
operational control and the maintenance for the aircraft always remains the
responsibility of the lessor."
57,121,A,121.600,B,General,Leasing of aircraft,"(b) Except for short term lease agreements as defined in EAC121-2 (as amended) or unless
otherwise authorized by the ECAA, prior to conducting operations involving a lease, each
certificate holder under this Part authorized to conduct common carriage operations under
this subchapter shall provide the ECAA with a copy of the lease to be executed which
would lease the aircraft to any other person engaged in common carriage operations under
this subchapter, including foreign air carriers, or to any other foreign person engaged in
common carriage wholly outside Egypt."
58,121,A,121.600,C,General,Leasing of aircraft,"(c) No certificate holder under this Part may lease from another air carrier, or any other person
not engaged in common carriage, except as provided in EAC121-2 (as amended)."
59,121,A,121.600,D,General,Leasing of aircraft,"(d) Upon receiving a copy of a lease, the ECAA determines which party to the agreement has
operational control of the aircraft. The lessor must provide the following information to be
incorporated into operations specifications, as needed:"
60,121,A,121.600,-,General,Leasing of aircraft,(1) The names of the parties to the agreement and the duration thereof;
61,121,A,121.600,-,General,Leasing of aircraft,(2) The nationality and registration markings of each aircraft involved in the agreement;
62,121,A,121.600,-,General,Leasing of aircraft,(3) The kind of operation;
63,121,A,121.600,-,General,Leasing of aircraft,(4) The airports or areas of operation; and
64,121,A,121.600,-,General,Leasing of aircraft,"(5) A statement specifying the party deemed to have operational control and the times,
airports, or areas under which such operational control is exercised"
65,121,A,121.600,E,General,Leasing of aircraft,"(e) In making the determination of paragraph (b) of this section, the ECAA will consider the
following:"
66,121,A,121.600,-,General,Leasing of aircraft,(1) Crewmembers and training;
67,121,A,121.600,-,General,Leasing of aircraft,(2) Airworthiness and performance of maintenance;
68,121,A,121.600,-,General,Leasing of aircraft,(3) Signing the maintenance release;
69,121,A,121.600,-,General,Leasing of aircraft,(4) Servicing the aircraft;
70,121,A,121.600,-,General,Leasing of aircraft,(5) Scheduling; and
71,121,A,121.600,-,General,Leasing of aircraft,(6) Any other factor the ECAA considers relevant.
72,121,A,121.600,F,General,Leasing of aircraft,"(f) Other arrangements for transportation by air: Except as provided in paragraph (f) of this
section, a certificate holder operating under this Part may not conduct any operation for
another certificate holder under this Part or a foreign air operator under Part 129 or a
foreign person engaged in common carriage wholly outside Egypt without the approval of
the ECAA."
73,121,A,121.600,G,General,Leasing of aircraft,"(g) A certificate holder under this Part may, if authorized by the ECAA, conduct one or more
flights for passengers who are stranded because of the cancellation of their scheduled
flights. These flights must be conducted under the rules of this Part.
Note:Details of the lease agreements and requirements for dry, wet and damp lease are
given in EAC121-2 (as amended)."
74,121,A,121.700,A,General,Flight Data Analysis Program,"(a) An operator of an aero plane of a certificated take-off mass in excess of 20 000 kg should
establish and maintain a flight data analysis programme as part of its safety management
system."
75,121,A,121.700,B,General,Flight Data Analysis Program,"(b) An operator of an aero plane of a maximum certificated take-off mass in excess of 27 000
kg shall establish and maintain a flight data analysis programme as part of its safety
management system."
76,121,A,121.700,C,General,Flight Data Analysis Program,"(c) An operator may contract the operation of a flight data analysis programme to another party
while retaining overall responsibility for the maintenance of such a programme"
77,121,A,121.700,D,General,Flight Data Analysis Program,"(d) A flight data analysis programme shall be non-punitive and contain adequate safeguards to
protect the source(s) of the data."
78,121,A,121.900,A,General,Aircraft tracking (Applicable on and after 8 November 2018),"(a) The operator shall establish an aircraft tracking capability to track aero planes throughout
its area of operations.
Note.— Guidance on aircraft tracking capabilities is contained in the Normal Aircraft
Tracking Implementation Guidelines (Cir 347)."
79,121,A,121.900,B,General,Aircraft tracking (Applicable on and after 8 November 2018),"(b) The operator should track the position of an aeroplane through automated reporting at least
every 15 minutes for the portion(s) of the inflight operation(s) under the following
conditions:"
80,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),"(1) The aeroplane has a maximum certificated take-off mass of over 27 000 kg and a
seating capacity greater than 19; and"
81,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),"(2) Where an ATS unit obtains aeroplane position information at greater than 15 minute
intervals.
Note.— See Annex 11 Chapter 2 for coordination between the operator and air traffic
services provisions regarding position report messages."
82,121,A,121.900,C,General,Aircraft tracking (Applicable on and after 8 November 2018),"(c) The operator shall track the position of an aero plane through automated reporting at least
every 15 minutes for the portion(s) of the inflight operation(s) that is planned in an oceanic
area(s) under the following conditions:"
83,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),"(1) The aero plane has a maximum certificated take-off mass of over 45 500 kg and a
seating capacity greater than 19; and"
84,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),"(2) Where an ATS unit obtains aero plane position information at greater than 15 minute
intervals.
Note 1. — Oceanic area - for the purpose of aircraft tracking is the airspace which overlies
waters outside the territory of a State.
Note 2. — See Annex 11 Chapter 2 for coordination between the operator and air traffic
services provisions regarding position report messages."
85,121,A,121.900,D,General,Aircraft tracking (Applicable on and after 8 November 2018),"(d) The operator shall establish procedures, approved by the ECAA , for the retention of
aircraft tracking data to assist SAR in determining the last known position of the aircraft.
Note.— Refer to 121.135, 121 app L item 1.49 for operator responsibilities when using
third parties for the conduct of aircraft tracking ."
86,121,A,121.900,E,General,Aircraft tracking (Applicable on and after 8 November 2018),"(E) Notwithstanding the provision in (b) and (c) ECAA may, based on the results of an approved
risk assessment process implemented by the certificate holder, allow for variations to
automated reporting intervals. The process shall demonstrate how risks to the operation
resulting from such variations can be managed and shall include at least the following:"
87,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),"(1) capability of the certificate holder’s operational control systems and processes,
including those for contacting ATS units;"
88,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),(2) overall capability of the aeroplane and its systems;
89,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),"(3) available means to determine the position of, and communicate with, the aeroplane;"
90,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),(4) frequency and duration of gaps in automated reporting;
91,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),(5) human factors consequences resulting from changes to flight crew procedures; and
92,121,A,121.900,-,General,Aircraft tracking (Applicable on and after 8 November 2018),"(6) specific mitigation measures and contingency procedures.                                                               Note. — Guidance on development, implementation and approval of the risk assessment process which
allows for variations to the need for automatic reporting and the required interval, including variation
examples, is contained in the Aircraft Tracking Implementation Guidelines (Cir 347)."
93,121,A,121.100,A,General,location of an aeroplane in distress,"(a) As of 1 January 2025, all airplanes of a maximum certificated take- off mass of over 27000
kg for which the individual certificate of airworthiness is first issued on or after 1 January
2024, shall autonomously transmits information from which a position can be determined by
the operator At least once every minute, when in distress, in accordance with Appendix P"
94,121,A,121.100,B,General,location of an aeroplane in distress,"(b) Recommendation— All aeroplanes of a maximum certificated take-off mass of over 5 700
kg for which the individual certificate of airworthiness is first issued on or after 1 January
2023, should autonomously transmit information from which a position can be determined
at least once every minute, when in distress, in accordance with Appendix P.
Note 1.— Refer to 121.135.(b).(3) for operator responsibilities when using third parties.
Note 2.— Operational procedures for monitoring and making position information of a flight in
distress available to the appropriate organizations in a timely manner are contained in PANS-OPS,
Volume III, Section 10.
The operator shall make position information of a flight in distress available to the appropriate
organizations, as established by the ECAA"
95,121,A,121.110,A,General,Rules applicable to operations in a foreign country,"(a) Each certificate holder shall, while operating an aircraft within a foreign country, comply
with the air traffic rules of the country concerned and the local airport rules, except where
any rule of this Part is more restrictive and may be followed without violating the rules of
that country."
96,121,A,121.110,B,General,Rules applicable to operations in a foreign country,"(b) An operator shall ensure that all employees when abroad know that they must comply with
the laws, regulations and procedures of those States in which operations are conducted."
97,121,A,121.110,C,General,Rules applicable to operations in a foreign country,"(c) An operator shall ensure that all pilots are familiar with the laws, regulations and
procedures, pertinent to the performance of their duties, prescribed for the areas to be
traversed, the aerodromes to be used and the air navigation facilities relating thereto. The
operator shall ensure that other members of the flight crew are familiar with such of these
laws, regulations and procedures as are pertinent to the performance of their respective
duties in the operation of the aeroplane."
98,121,A,121.130,,General,Rules applicable to domestic helicopter operations: deviation authority,"Upon application by the operator, the ECAA may issue operations specifications authorizing a
deviation from the specific requirements for domestic helicopter operations if they find that the
deviation provides a substantially equivalent standard of safety."
99,121,A,121.150,,General,"Carriage of narcotic drugs, marihuana, and depressant or stimulant drugs or
substances","If the holder of a certificate issued under this Part permits any aircraft owned or leased by that
holder to be engaged in any operation that the certificate holder knows to be in violation of
The Egyptian Civil Aviation Law No 28, 1981, that operation is a basis for suspending or
revoking the certificate."
100,121,A,121.170,,General,"Rules applicable to air carrier and air taxi pilots to operate more than one aircraft
type.",( Ref. to ECAR 61.79)
101,121,B,121.210,,Certification Rules for Air Carrier and Air Taxi Operators,Applicability,"This subpart prescribes the certification rules for air carriers and air taxi operators obtaining
an air operator certificate (AOC)."
102,121,B,121.230,A,Certification Rules for Air Carrier and Air Taxi Operators,The air operator certificate,"(a) The air operator certificate (AOC) shall authorize the operator to conduct commercial air
transport operations in accordance with the operations specifications"
103,121,B,121.230,B,Certification Rules for Air Carrier and Air Taxi Operators,The air operator certificate,(b) The operations specifications that are issued with the AOC are a part of that certificate
104,121,B,121.230,C,Certification Rules for Air Carrier and Air Taxi Operators,The air operator certificate,"(c) Provisions for the content of the air operator certificate and its associated operations
specifications are contained in Appendix ( K ) of this part ."
105,121,B,121.250,A,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(a) A person applying to the ECAA for an air carrier or air taxi certificate under this Part
(applicant) must submit an application to the ECAA at least 90 days before they intend to
start operations or 60 days before the expiration date of the AOC in case of its renewal:"
106,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(1) In a form and manner prescribed by the ECAA; and
107,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(2) Containing any information the ECAA requires the applicant to submit;
108,121,B,121.250,B,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(b) Each applicant for the original issue / renewal of an operating certificate for the purpose
of conducting common carriage operations under this Part must submit an application in a
form and manner prescribed by the ECAA."
109,121,B,121.250,C,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(c) Each application submitted under paragraph (b) of this section must contain a signed
statement showing the following:"
110,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(1) For corporate applicants:
111,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(i) The name and address of each stockholder who owns 5 percent or more of the
total voting stock of the corporation, and if that stockholder is not the sole
beneficial owner of the stock, the name and address of each beneficial owner. An
individual is considered to own the stock owned, directly or indirectly, by or for
his or her spouse, children, grandchildren, or parents."
112,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(ii) The name and address of each director and each officer and each person
employed or who will be employed in a management position described in this
ECAR."
113,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(iii) The name and address of each person directly or indirectly controlling or
controlled by the applicant and each person under direct or indirect control with
the applicant."
114,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(2) For non-corporate applicants:
115,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(i) The name and address of each person having a financial interest therein the noncorporate applicant and the nature and extent of that interest.
116,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(ii) The name and address of each person employed or who will be employed in a
management position described in this ECAR."
117,121,B,121.250,D,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(d) In addition, each applicant for the original issue of an operating certificate under
paragraph (b) of this section must submit with the application a signed statement showing:"
118,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(1) The financial information listed in paragraph (g) of this section; and
119,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(2) The nature and scope of its intended operation, including the name and address of
each person, if any, with whom the applicant has a contract to provide services as a
commercial operator and the scope, nature, date, and duration of each of those
contracts"
120,121,B,121.250,E,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(e) Each applicant for, or holder of, a certificate issued under paragraph (b) of this section,
shall notify the ECAA within 10 days after:"
121,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(1) A change in any of the persons, or the names and addresses of any of the persons,
submitted to the ECAA under paragraph (c)(1) or (c)(2) of this section; or"
122,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(2) A change in the financial information submitted to the ECAA under paragraph (f) of
this section that occurs while the application for the issue is pending before the ECAA
and that would make the applicant's financial situation substantially less favorable
than originally reported."
123,121,B,121.250,F,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(f) Each applicant for the original issue of an operating certificate under paragraph (a) of this
section must submit the following financial information:"
124,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(1) A balance sheet that shows assets, liabilities, and net worth, as of a date not more than
60 days before the date of application."
125,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(2) An itemization of liabilities more than 60 days past due on the balance sheet date, if
any, showing each creditor's name and address, a description of the liability, and the
amount and due date of the liability."
126,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(3) An itemization of claims in litigation, if any, against the applicant as of the date of
application showing each claimant's name and address and a description and the
amount of the claim."
127,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(4) A detailed projection of the proposed operation covering 6 complete months after the
month in which the certificate is expected to be issued including:"
128,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(i) Estimated amount and source of both operating and non-operating revenue,
including identification of its existing and anticipated income producing contracts
and estimated revenue per mile or hour of operation by aircraft type;"
129,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(ii) Estimated amount of operating and non-operating expenses by expense objective
classification; and"
130,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(iii) Estimated net profit or loss for the period.
131,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(5) An estimate of the cash that will be needed for the proposed operations during the
first 6 months after the month in which the certificate is expected to be issued,
including:"
132,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(i) Acquisition of property and equipment (explain);
133,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(ii) Retirement of debt (explain);
134,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(iii) Additional working capital (explain);
135,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(iv) Operating losses other than depreciation and amortization (explain); and
136,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(v) Other (explain).
137,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(6) An estimate of the cash that will be available during the first 6 months after the month
in which the certificate is expected to be issued, from-"
138,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(i) Sale of property or flight equipment (explain);
139,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(ii) New debt (explain);
140,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(iii) New equity (explain);
141,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(iv) Working capital reduction (explain);
142,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(v) Operations (profits) (explain);
143,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(vi) Depreciation and amortization (explain); and
144,121,B,121.250, · ,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,(vii) Other (explain).
145,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(7) A schedule of insurance coverage in effect on the balance sheet’s date showing
insurance companies; policy numbers; types, amounts, and period of coverage; and
special conditions, exclusions, and limitations."
146,121,B,121.250,-,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(8) Any other financial information that the ECAA requires to enable him to determine
that the applicant has sufficient financial resources to conduct his or her operations
with the degree of safety required in the public interest."
147,121,B,121.250,G,Certification Rules for Air Carrier and Air Taxi Operators,Application for an AOC,"(g) Each financial statement containing financial information required by paragraph (f) of this
section must be based on accounts prepared and maintained on an accrual basis in
accordance with generally accepted accounting principles applied on a consistent basis,
and must contain the name and address of the applicant's public accounting firm, if any.
Information submitted must be signed by an officer, owner, or partner of the applicant or
certificate holder"
148,121,B,121.270,A,Certification Rules for Air Carrier and Air Taxi Operators,Issue of certificate: AOC,"(a) An applicant may be issued an AOC if, after investigation, the ECAA finds that the
applicant:"
149,121,B,121.270,-,Certification Rules for Air Carrier and Air Taxi Operators,Issue of certificate: AOC,(1) Meets the applicable requirements of this Part;
