No,GACAR PART,SUBPART,APPENDIX,SECTION,SUB-SECTION,SUB-SECTION,OPS AREA,AREAS,SUBPART/ APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT
1,5,SUBPART A,-,5.3,,b,-,ORG,GENERAL,General Requirements,(b) The SMS must be maintained in accordance with the recordkeeping requirements in Subpart F of this part.
1,5,SUBPART A,-,5.3,,c,-,ORG,GENERAL,General Requirements,(c) The SMS must ensure compliance with all the relevant regulatory requirements in the GACAR.
1,5,SUBPART A,-,5.3,,d,-,ORG,GENERAL,General Requirements,"(d) Each aviation organization required to have an SMS under this part must submit the Safety Management System documentation, as defined under GACAR § 5.101 to the President for acceptance."
1,5,SUBPART B,-,5.21,,a1,-,,SAFETY POLICY,Safety Policy,"(a) The certificate holder must have a safety policy that includes at least the following:
(1) The safety objectives of the certificate holder."
1,5,SUBPART B,-,5.21,,a2,-,,SAFETY POLICY,Safety Policy,"(2) Reflect organizational commitment regarding safety, including promoting a positive safety culture."
1,5,SUBPART B,-,5.21,,a3,-,,SAFETY POLICY,Safety Policy,(3) A clear statement about the provision of the necessary resources for the implementation of the SMS.
1,5,SUBPART B,-,5.21,,a4(i),-,,SAFETY POLICY,Safety Policy,"(4) A safety reporting policy that defines requirements for –
(i) Employee reporting of safety hazards or issues; and
"
1,5,SUBPART B,-,5.21,,a4(ii),-,,SAFETY POLICY,Safety Policy,(ii) Reporting of safety data and safety issues to the President.
1,5,SUBPART B,-,5.21,,a5,-,,SAFETY POLICY,Safety Policy,(5) A policy that defines unacceptable behavior and conditions for disciplinary action.
1,5,SUBPART B,-,5.21,,a6,-,,SAFETY POLICY,Safety Policy,(6) An emergency response plan that provides for the orderly and efficient transition from normal to emergency operations and the return to normal operations in accordance with the requirements of GACAR § 5.27.
1,5,SUBPART B,-,5.21,,b,-,,SAFETY POLICY,Safety Policy,"(b) The safety policy, including responsibilities, accountability, and authority of the accountable executive and safety personnel, must be documented and communicated throughout the certificate
holder’s organization"
1,5,SUBPART B,-,5.21,,c,-,,SAFETY POLICY,Safety Policy,(c) The safety policy must be signed by the accountable executive described in GACAR § 5.25.
1,5,SUBPART B,-,5.21,,d,-,,SAFETY POLICY,Safety Policy,"(d) The safety policy including responsibilities, accountability and authority of the accountable executive and safety personnel must be documented and communicated throughout the certificate
holder’s organization."
1,5,SUBPART B,-,5.21,,e,-,,SAFETY POLICY,Safety Policy,(e) The safety policy must be regularly reviewed by the accountable executive to ensure it remains relevant and appropriate to the certificate holder’s organization.
1,5,SUBPART B,-,5.21,,f,-,,SAFETY POLICY,Safety Policy,"(f) For the purpose of this part, hazard identification must be focused on those conditions that could cause or contribute to unsafe operation of aircraft or aviation safety related equipment, product and services."
1,5,SUBPART B,-,5.23,,a1,-,,SAFETY POLICY,Safety Accountability and Authority.,"(a) The certificate holder must define accountability for safety within the organization's safety policy for the following individuals:
(1) Accountable executive, as described in GACAR § 5.25."
1,5,SUBPART B,-,5.23,,a2(i),-,,SAFETY POLICY,Safety Accountability and Authority.,"(2) All members of management in regard to developing, implementing, and maintaining SMS processes within their area of responsibility, including, but not limited to:
(i) Hazard identification and safety risk assessment.
"
1,5,SUBPART B,-,5.23,,a2(ii),-,,SAFETY POLICY,Safety Accountability and Authority.,"(ii) Assuring the effectiveness of safety risk controls.
"
1,5,SUBPART B,-,5.23,,a2(iii),-,,SAFETY POLICY,Safety Accountability and Authority.,".
(iii) Promoting safety as required in subpart E of this part.
"
1,5,SUBPART B,-,5.23,,a2(iv),-,,SAFETY POLICY,Safety Accountability and Authority.,"(iv) Advising the accountable executive on the performance of the SMS and on any need for improvement.
"
1,5,SUBPART B,-,5.23,,a2(v),-,,SAFETY POLICY,Safety Accountability and Authority.,"
(v) Safety reporting."
1,5,SUBPART B,-,5.23,,a3,-,,SAFETY POLICY,Safety Accountability and Authority.,(3) Employees relative to the certificate holder's safety performance.
1,5,SUBPART B,-,5.23,,b,-,,SAFETY POLICY,Safety Accountability and Authority.,(b) The certificate holder must identify the levels of management with the authority to make decisions regarding safety risk tolerability.
1,5,SUBPART B,-,5.25,,a1,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,"(a) Designation of the accountable executive. The certificate holder must identify an accountable executive who, irrespective of other functions, satisfies the following:
(1) Is the final authority over operations authorized to be conducted under the certificate(s) or authorizations issued by the President."
1,5,SUBPART B,-,5.25,,a2,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(2) Controls the financial resources required for the operations to be conducted under the certificate(s) or authorizations issued by the President.
1,5,SUBPART B,-,5.25,,a3,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(3) Controls the human resources required for the operations authorized to be conducted under the certificate(s) or authorizations issued by the President.
1,5,SUBPART B,-,5.25,,a4,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(4) Retains ultimate responsibility for the safety performance of the operations conducted under the certificate or authorizations issued by the President.
1,5,SUBPART B,-,5.25,,b1,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,"(b) Responsibilities of the accountable executive. The accountable executive must accomplish the following:
(1) Ensure that the SMS is properly implemented and performing in all areas of the certificate holder's organization."
1,5,SUBPART B,-,5.25,,b2,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(2) Develop and sign the safety policy of the certificate holder.
1,5,SUBPART B,-,5.25,,b3,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(3) Communicate the safety policy throughout the certificate holder’s organization.
1,5,SUBPART B,-,5.25,,b4,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(4) Regularly review the certificate holder's safety policy to ensure it remains relevant and appropriate to the certificate holder.
1,5,SUBPART B,-,5.25,,b5,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(5) Regularly review the safety performance of the certificate holder and direct actions necessary to address substandard safety performance in accordance with GACAR § 5.75.
1,5,SUBPART B,-,5.25,,b6,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,"(6) Ensure that the notification and reporting of aviation accidents, serious incidents and other aviation incidents are made as prescribed under GACAR Part 4 and other GACAR parts."
1,5,SUBPART B,-,5.25,,b7,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(7) Promote a reporting culture within the certificate holder's organization including the provision of voluntary reports to the President.
1,5,SUBPART B,-,5.25,,c1,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,"(c) Designation of a safety manager. The accountable executive must designate a safety manager who, on behalf of the accountable executive, must be responsible for the following:
(1) Facilitating hazard identification and safety risk analysis."
1,5,SUBPART B,-,5.25,,c2,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(2) Monitoring the effectiveness of safety risk controls.
1,5,SUBPART B,-,5.25,,c3,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(3) Ensuring safety promotion throughout the certificate holder’s organization as required in.
1,5,SUBPART B,-,5.25,,c4,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(4) Regularly reporting to the accountable executive on the performance of the SMS and on any need for improvement.
1,5,SUBPART B,-,5.25,,c5,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(5) Monitor corrective actions and evaluate their results.
1,5,SUBPART B,-,5.25,,c6,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(6) Provide periodic reports on the organization safety performance.
1,5,SUBPART B,-,5.25,,c7,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(7) Plan and facilitate staff safety training.
1,5,SUBPART B,-,5.25,,c8,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(8) Coordinate and communicate (on behalf of the accountable executive) with GACA and other state authorities as necessary on issues relating to safety.
1,5,SUBPART B,-,5.25,,d1,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,"(d) Required competencies for the Safety Manager:
(1) Safety management experience;"
1,5,SUBPART B,-,5.25,,d2,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(2) Operational experience related to the service provided by the certificate holder;
1,5,SUBPART B,-,5.25,,d3,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(3) Technical background to understand the certificate holder's system;
1,5,SUBPART B,-,5.25,,d4,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(4) Analytical and problem solving skills;
1,5,SUBPART B,-,5.25,,d5,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(5) Project management skills;
1,5,SUBPART B,-,5.25,,d6,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(6) Understanding of human factors principles; and
1,5,SUBPART B,-,5.25,,d7,-,,SAFETY POLICY,Designation and Responsibilities of Required Safety Management Personnel.,(7) Communication skills.
1,5,SUBPART B,-,5.27,,a1,-,,SAFETY POLICY,Emergency Response Planning.,"(a) Where emergency response procedures are necessary, the accountable executive and safety manager must ensure the development, as part of the safety policy of the certificate holder, an emergency response plan that addresses at least the following:
(1) Delegation of emergency authority throughout the certificate holder’s organization;"
1,5,SUBPART B,-,5.27,,a2,-,,SAFETY POLICY,Emergency Response Planning.,(2) Assignment of employee responsibilities during the emergency;
1,5,SUBPART B,-,5.27,,a3,-,,SAFETY POLICY,Emergency Response Planning.,(3) Coordination of the certificate holder's emergency response plans with the emergency response plans of other organizations it must interface with during the provision of its services;
1,5,SUBPART B,-,5.27,,a4,-,,SAFETY POLICY,Emergency Response Planning.,"(4) Safe continuation of essential operations, while the crisis is being managed; and"
1,5,SUBPART B,-,5.27,,a5,-,,SAFETY POLICY,Emergency Response Planning.,(5) Proactive identification of all possible emergency events/ scenarios and their corresponding mitigation actions.
1,5,SUBPART B,-,5.27,,b1,-,,SAFETY POLICY,Emergency Response Planning.,"(b) The emergency response plan must:
(1) Be appropriate to the size, nature and complexity of the certificate holder’s organization;"
1,5,SUBPART B,-,5.27,,b2,-,,SAFETY POLICY,Emergency Response Planning.,(2) Be readily accessible to all relevant personnel and other organizations where applicable;
1,5,SUBPART B,-,5.27,,b3,-,,SAFETY POLICY,Emergency Response Planning.,(3) Include checklists and procedures relevant to different or specific emergency situations;
1,5,SUBPART B,-,5.27,,b4,-,,SAFETY POLICY,Emergency Response Planning.,(4) Have quick reference contact details of relevant personnel;
1,5,SUBPART B,-,5.27,,b5,-,,SAFETY POLICY,Emergency Response Planning.,(5) Be regularly tested through exercises; and
1,5,SUBPART B,-,5.27,,b6,-,,SAFETY POLICY,Emergency Response Planning.,(6) Be periodically reviewed and updated when details change.
1,5,SUBPART B,-,5.27,,c1,-,,SAFETY POLICY,Emergency Response Planning.,"(c) In addition to the requirements prescribed in paragraph (a) and (b) of this section, each commercial air operator certificated under GACAR Part 119 and operating under GACAR Part 121 or Part 135 and aerodrome operators under GACAR Part 139 must:
(1) Develop and maintain a family assistance plan as part of their emergency response plan that described how the certificate holder will, in case of an aircraft accident, provide the victims, survivors, missing persons and their families with material and spiritual help by complying with the basic principle of timeliness, sensitivity, dignity and respect. The family assistance plan must comply with the requirements of Section IV of Appendix A and Section II  of Appendix C to this part and be acceptable to the President."
1,5,SUBPART B,-,5.27,,c2,-,,SAFETY POLICY,Emergency Response Planning.,(2) Execute their family assistance plan and begin to provide assistance as soon as the certificate holder learns of an aircraft accident involving one or more of its aircraft. The notification and provision of assistance must comply with the requirements of requirements of Section IV of Appendix A and Section II of Appendix C to this part.
1,5,SUBPART B,-,5.27,,c3,-,,SAFETY POLICY,Emergency Response Planning.,(3) Each Perform periodic exercising of their family assistance plans to ensure the effective implementation of the plan.
1,5,SUBPART B,-,5.29,,a1,-,,SAFETY POLICY,Safety Objectives,"(a) The certificate holder must set a safety objective that includes at least the following:
(1) Reflect on the service provider’s commitment to maintain or continuously improve the overall effectiveness of the SMS."
1,5,SUBPART B,-,5.29,,a2,-,,SAFETY POLICY,Safety Objectives,(2) Form the basis for safety performance monitoring and measurement as required by GACAR 5 Subpart D.
1,5,SUBPART B,-,5.29,,b,-,,SAFETY POLICY,Safety Objectives,(b) The safety objectives must be documented and communicated throughout the certificate holder’s organization.
1,5,SUBPART B,-,5.29,,c,-,,SAFETY POLICY,Safety Objectives,(c) The safety objectives must be regularly reviewed by the accountable executive to ensure it remains relevant and appropriate to the certificate holder’s organization.
1,5,SUBPART C,-,5.51,,a,-,,SAFETY RISK MANAGEMENT,Applicability,"The certificate holder must apply safety risk management to a system under any of the following conditions:
(a) Implementation of new systems."
1,5,SUBPART C,-,5.51,,b,-,,SAFETY RISK MANAGEMENT,Applicability,(b) Revision of existing systems.
1,5,SUBPART C,-,5.51,,c,-,,SAFETY RISK MANAGEMENT,Applicability,(c) Development of operational procedures.
1,5,SUBPART C,-,5.51,,d,-,,SAFETY RISK MANAGEMENT,Applicability,(d) Identification of hazards or ineffective risk controls through the safety assurance processes in Subpart D of this part.
1,5,SUBPART C,-,5.53,,a,-,,SAFETY RISK MANAGEMENT,System Analysis and Hazard Identification.,"(a) When applying safety risk management, the certificate holder must have a process to describe and analyze the system for use in identifying hazards under paragraph (c) of this section, and developing and implementing risk controls related to the system under GACAR § 5.55(c)."
1,5,SUBPART C,-,5.53,,b1,-,,SAFETY RISK MANAGEMENT,System Analysis and Hazard Identification.,"(b) In conducting the system analysis, the following information must be considered:
(1) Function and purpose of the system."
1,5,SUBPART C,-,5.53,,b2,-,,SAFETY RISK MANAGEMENT,System Analysis and Hazard Identification.,(2) The system's operating environment.
1,5,SUBPART C,-,5.53,,b3,-,,SAFETY RISK MANAGEMENT,System Analysis and Hazard Identification.,(3) An outline of the system's processes and procedures.
1,5,SUBPART C,-,5.53,,b4,-,,SAFETY RISK MANAGEMENT,System Analysis and Hazard Identification.,"(4) The personnel, equipment, and facilities necessary for operation of the system."
1,5,SUBPART C,-,5.53,,c,-,,SAFETY RISK MANAGEMENT,System Analysis and Hazard Identification.,(c) The certificate holder must develop and maintain processes to identify hazards within the context of the system analysis.
1,5,SUBPART C,-,5.53,,d,-,,SAFETY RISK MANAGEMENT,System Analysis and Hazard Identification.,(d) The hazard identification must be based on reactive and proactive methods.
1,5,SUBPART C,-,5.55,,a,-,,SAFETY RISK MANAGEMENT,Safety Risk Assessment and Control.,(a) The certificate holder must develop and maintain processes to analyze safety risk associated with the hazards identified in GACAR § 5.53(c).
1,5,SUBPART C,-,5.55,,b,-,,SAFETY RISK MANAGEMENT,Safety Risk Assessment and Control.,"(b) The certificate holder must define a process for conducting risk assessment that allows for the determination of acceptable safety risk. Acceptable safety risk must, at a minimum, comply with the applicable regulatory requirements set forth in the GACAR."
1,5,SUBPART C,-,5.55,,c1,-,,SAFETY RISK MANAGEMENT,Safety Risk Assessment and Control.,"(c) The certificate holder must develop and maintain processes to develop safety risk controls that are necessary as a result of the safety risk assessment process under paragraph (b) of this section.
(1) The certificate holder must evaluate whether the risk will be acceptable with the proposed safety risk control applied, before the safety risk control is implemented."
1,5,SUBPART C,-,5.55,,c2,-,,SAFETY RISK MANAGEMENT,Safety Risk Assessment and Control.,"(2) The safety risk controls must, at a minimum, comply with the applicable regulatory requirements set forth in the GACAR."
1,5,SUBPART C,-,5.57,,,-,,SAFETY RISK MANAGEMENT,Regulatory Coordination.,"Where an certificate holder undertakes a major change, or a change which will have an effect on other organizations in the aviation system, the safety assessment associated with that change must be acceptable to the President."
1,5,SUBPART D,-,5.71,,a1,-,,SAFETY ASSURANCE,Safety Performance Monitoring and Measurement.,"(a) The certificate holder must develop and maintain processes and systems to acquire data with respect to its operations, products, and services to monitor the safety performance of the organization. These processes and systems must include, at a minimum, processes, and systems for the following:
(1) Continuous monitoring of operational processes."
1,5,SUBPART D,-,5.71,,a2,-,,SAFETY ASSURANCE,Safety Performance Monitoring and Measurement.,(2) Periodic monitoring of the operational environment to detect changes.
1,5,SUBPART D,-,5.71,,a3,-,,SAFETY ASSURANCE,Safety Performance Monitoring and Measurement.,(3) Auditing of operational processes and systems.
1,5,SUBPART D,-,5.71,,a4,-,,SAFETY ASSURANCE,Safety Performance Monitoring and Measurement.,(4) Evaluations of the SMS and operational processes and systems.
1,5,SUBPART D,-,5.71,,a5,-,,SAFETY ASSURANCE,Safety Performance Monitoring and Measurement.,(5) Investigations of incidents and accidents.
1,5,SUBPART D,-,5.71,,a6,-,,SAFETY ASSURANCE,Safety Performance Monitoring and Measurement.,(6) Investigations of reports regarding potential noncompliance with regulatory standards or other safety risk controls established by the certificate holder through the safety risk management process established in Subpart B of this part.
1,5,SUBPART D,-,5.71,,a7,-,,SAFETY ASSURANCE,Safety Performance Monitoring and Measurement.,"(7) A confidential employee reporting system in which employees can report to the certificate holder items, including, but not limited to; hazards, errors, safety concerns, actual or potential safety deficiencies, and incidents, as well as propose solutions and safety improvements."
1,5,SUBPART D,-,5.71,,b,-,,SAFETY ASSURANCE,Safety Performance Monitoring and Measurement.,"(b) The certificate holder must develop and maintain processes that analyze the data acquired through the processes and systems identified under paragraph (a) of this section and any other relevant data with respect to its operations, products, and services."
1,5,SUBPART D,-,5.73,,a1,-,,SAFETY ASSURANCE,Safety Performance Assessment.,"(a) The certificate holder must conduct assessments of its safety performance against its safety objectives, which include reviews by the accountable executive, in order to:
(1) Ensure the certificate holder's compliance with the applicable regulatory requirements in the GACAR and additional safety risk controls established by the certificate holder."
1,5,SUBPART D,-,5.73,,a2,-,,SAFETY ASSURANCE,Safety Performance Assessment.,(2) Evaluate the performance of the SMS.
1,5,SUBPART D,-,5.73,,a3,-,,SAFETY ASSURANCE,Safety Performance Assessment.,(3) Evaluate the effectiveness of the safety risk controls established under GACAR § 5.55(c) and identify any ineffective controls.
1,5,SUBPART D,-,5.73,,a4,-,,SAFETY ASSURANCE,Safety Performance Assessment.,(4) Identify changes in the operational environment that may introduce new hazards.
1,5,SUBPART D,-,5.73,,a5,-,,SAFETY ASSURANCE,Safety Performance Assessment.,(5) Identify potential new hazards or safety issues and concerns.
1,5,SUBPART D,-,5.73,,b,-,,SAFETY ASSURANCE,Safety Performance Assessment.,"(b) Upon completion of the assessment, if ineffective controls, new hazards, or potential hazards are identified under paragraph (a)(2) through (a)(4) of this section, the certificate holder must use the safety risk management process described in Subpart C of this part."
1,5,SUBPART D,-,5.73,,c,-,,SAFETY ASSURANCE,Safety Performance Assessment.,"(c) Safety objectives must be established with the use of high and low consequence safety performance indicators, targets and alert levels that reflect an acceptable level of safety performance for the certificate holder’s operations and provide for advance warning of adverse trends. The certificate holder’s safety performance indicators, targets and alert levels must be acceptable to the President."
1,5,SUBPART D,-,5.74,,,-,,SAFETY ASSURANCE,Management of Change,"The certificate holder must develop and maintain a process to identify changes that may affect the level of safety risk associated with its aviation products or services and to identify and manage the
safety risks that may arise from those changes"
1,5,SUBPART D,-,5.75,,,-,,SAFETY ASSURANCE,Continuous Improvement.,"The certificate holder must establish and implement processes to correct substandard safety performance identified in the assessments conducted under GACAR § 5.73.
The certificate holder must monitor and assess its SMS processes to maintain or continuously improve the overall effectiveness of the SMS
"
1,5,SUBPART E,-,5.91,,,-,,SAFETY PROMOTION,Competencies and Training.,The certificate holder must provide training to each individual identified in GACAR § 5.23 to ensure the individuals attain and maintain the qualifications necessary to perform their duties relevant to the operation and performance of the SMS.
1,5,SUBPART E,-,5.93,,a,-,,SAFETY PROMOTION,Safety Communication.,"The certificate holder must develop and maintain means for communicating safety information that, at a minimum:
(a) Ensures that all personnel are aware of the SMS;"
1,5,SUBPART E,-,5.93,,b,-,,SAFETY PROMOTION,Safety Communication.,(b) Conveys safety critical information;
1,5,SUBPART E,-,5.93,,c,-,,SAFETY PROMOTION,Safety Communication.,(c) Explains why particular safety actions are taken; and
1,5,SUBPART E,-,5.93,,d,-,,SAFETY PROMOTION,Safety Communication.,(d) Explains why safety procedures are introduced or changed.
1,5,SUBPART F,-,5.101,,a,-,,SMS DOCUMENTATION AND RECORDKEEPING,SMS Documentation.,"The certificate holder must develop and maintain SMS documentation that describes the certificate holder's:
(a) Safety policy and objectives."
1,5,SUBPART F,-,5.101,,b,-,,SMS DOCUMENTATION AND RECORDKEEPING,SMS Documentation.,(b) SMS requirements for its operations.
1,5,SUBPART F,-,5.101,,c,-,,SMS DOCUMENTATION AND RECORDKEEPING,SMS Documentation.,"(c) Accountability, responsibilities, and authorities of accountable executive and safety personnel for SMS processes and procedures."
1,5,SUBPART F,-,5.101,,d,-,,SMS DOCUMENTATION AND RECORDKEEPING,SMS Documentation.,(d) SMS processes and procedures.
1,5,SUBPART F,-,5.103,,a,-,,SMS DOCUMENTATION AND RECORDKEEPING,SMS Records.,(a) The certificate holder must maintain records of outputs of safety risk management processes as described in Subpart C of this part. Such records must be retained for as long as the control remains relevant to the operation.
1,5,SUBPART F,-,5.103,,b,-,,SMS DOCUMENTATION AND RECORDKEEPING,SMS Records.,(b) The certificate holder must maintain records of outputs of safety assurance processes as described in Subpart D of this part. Such records must be retained for a minimum of 5 years.
1,5,SUBPART F,-,5.103,,c,-,,SMS DOCUMENTATION AND RECORDKEEPING,SMS Records.,(c) The certificate holder must maintain a record of all training provided under GACAR § 5.91 for each individual. Such records must be retained for a minimum of 5 years after completion of the training.
1,5,SUBPART F,-,5.103,,d,-,,SMS DOCUMENTATION AND RECORDKEEPING,SMS Records.,(d) The certificate holder must retain records of all communications provided under GACAR § 5.93 for a minimum of 5 years.
1,5,SUBPART F,-,5.105,,d,-,,SMS DOCUMENTATION AND RECORDKEEPING,SMS Implementation Plan,The accountable executive must establish an SMS implementation plan for an effective SMS implementation. The implementation plan must be documented and include procedures for coordination with external organizations or contractors where applicable.
1,5,-,APPENDIX A,-,I,i,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Data Analysis Program (FDAP),I. Flight Data Analysis Program (FDAP).
1,5,-,APPENDIX A,-,I,a,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Data Analysis Program (FDAP),(a) Each operator of an airplane of a maximum certificated takeoff mass in excess of 27000 kg must establish and maintain a flight data analysis program (FDAP) as part of its SMS. The FDAP must include a method of capturing and analyzing the data generated by each applicable aircraft when moving through the air from one point to another. The goal of the FDAP must be to improve aviation safety.
1,5,-,APPENDIX A,-,I,b,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Data Analysis Program (FDAP),(b) An operator may contract the operation of an FDAP to another party while retaining overall responsibility for the maintenance of such a program.
1,5,-,APPENDIX A,-,I,c,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Data Analysis Program (FDAP),(c) Each FDAP must be non-punitive and contain adequate safeguards to protect the source(s) of the data.
1,5,-,APPENDIX A,-,II,ii,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Fatigue Risk Management Systems(FRMS),II. Fatigue Risk Management Systems (FRMS).
1,5,-,APPENDIX A,-,II,a,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Fatigue Risk Management Systems(FRMS),(a) Each certificate holder that elects to use fatigue risk management systems to manage fatigue within their operation as permitted under GACAR § 121.1001(a)(2) or GACAR § 135.449(b) must establish and maintain an FRMS as part of its SMS.
1,5,-,APPENDIX A,-,II,b,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Fatigue Risk Management Systems(FRMS),(b) Each FRMS must comply with the requirements prescribed for FRMS in Appendix G to this part.
1,5,-,APPENDIX A,-,II,c,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Fatigue Risk Management Systems(FRMS),(c) Each FRMS must be approved by the President prior to implementation and the certificate holder must make any changes to the program that are required by the President.
1,5,-,APPENDIX A,-,III,iii,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),III. Flight Safety Documents System (FSDS).
1,5,-,APPENDIX A,-,III,a,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(a) Each operator must establish and maintain a flight safety document system (FSDS) as part of its SMS.
1,5,-,APPENDIX A,-,III,b,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(b) The FSDS must include the set of interrelated documentation established by the operator, compiling and organizing information necessary for flight and ground operations, and comprising, as a minimum, the operations manual and the operator’s maintenance control manual."
1,5,-,APPENDIX A,-,III,c1,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(c) Organization. Each FSDS must be organized according to criteria which ensure easy access to information required for flight and ground operations contained in the various operational documents comprising the system and which facilitate management of the distribution and revision of operational documents. The information contained in the FSDS must be grouped according to the importance and use of the information, as follows:
(1) Time-critical information, e.g., information that can jeopardize the safety of the operation if not immediately available;"
1,5,-,APPENDIX A,-,III,c2,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),"(2) Time-sensitive information, e.g., information that can affect the level of safety or delay the operation if not available in a short time period;"
1,5,-,APPENDIX A,-,III,c3,-,,COMMERCIAL OPERATIONS UNDER GACAR PART 121 OR 135,Flight Safety Documents System(FSDS),(3) Frequently used information;
