No,GACAR PART,SUBPART,APPENDIX,Subpart/ Appendix SECTION,Subpart / Appendix SUB-SECTION,OPS AREA,AREAS,SUBPART / APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,"COMPLIANCE STATUS
""C""""NC""N/A""""NF""",Department,AOC,Auditor Checklist Query,,,PRIMARY MANUAL,PRIMARY REFERENCE,SECONDARY MANUAL,SECONDARY REFERENCE,AUDITOR COMMENTS,AREAS EFFECTED,"REVIEW STATUS ""NC, N/A, RF, DEL""",DEPARTMENTAL APPROVAL,UPDATE STATUS,AREAS EFFECTED CORRECTED,REMARKS/ COMMENTS,QA FINAL CHECK,DEPARTMENT COMMENTS,QA COMMENTS,CHECK OTHER REFERENCE,
22,109,SUBPART A,,109.1,-,,,General,Applicability,(1) Classifying;,C,,,,,,P-DGR,2.1,-,-,,,,,,,,,,,,
23,109,SUBPART A,,109.1,-,,,General,Applicability,(2) Packing;,C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
24,109,SUBPART A,,109.1,-,,,General,Applicability,(3) Marking; and,C,,,,,,P-DGR,2.5,-,-,,,,,,,,,,,,
25,109,SUBPART A,,109.1,-,,,General,Applicability,(4) Labeling.,C,,,,,,P-DGR,2.5,-,-,,,,,,,,,,,,
26,109,SUBPART A,,109.1,f,,,General,Applicability,"(f) For the purposes of this part, a shipper means any person who is the sender and/or preparer of
dangerous goods for transportation by air.",A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
27,109,SUBPART A,,109.3,a,,,General,General Limitations on the Transport of Dangerous Goods,"(a) No person may offer, accept, prepare or transport dangerous goods by air except as provided for
in this part and in the Technical Instructions for the Safe Transport of Dangerous Goods by Air
(Technical Instructions), as amended, published by the Council of the International Civil Aviation
Organization (ICAO)(ICAO Doc. 9284).",A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
28,109,SUBPART A,,109.3,b,,,General,General Limitations on the Transport of Dangerous Goods,"(b) No person may offer, accept, prepare or transport by air any article or substance identified in the
Technical Instructions as forbidden for transport by air under any circumstances.",C,DGR,,,,,P-DGR,3.2,-,-,,,,,,,,,,,,
29,109,SUBPART A,,109.3,c,,,General,General Limitations on the Transport of Dangerous Goods,"(c) Except as provided in GACAR § 109.5, no person may offer, accept, prepare or transport the
following dangerous goods without the approval of the President or unless the Technical
Instructions indicate they may be transported under an approval issued by the state of origin:",A,DGR,,,,,-,-,-,-,,,,,,,,,,,,
30,109,SUBPART A,,109.3,-,,,General,General Limitations on the Transport of Dangerous Goods,"(1) Articles and substances identified in the Technical Instructions as forbidden for transport
in normal circumstances or",C,DGR,,,,,P-DGR,3.2,-,-,,,,,,,,,,,,
31,109,SUBPART A,,109.3,-,,,General,General Limitations on the Transport of Dangerous Goods,(2) Infected live animals.,C,DGR,,,,,P-DGR,3.2.2,-,-,,,,,,,,,,,,
32,109,SUBPART A,,109.3,d,,,General,General Limitations on the Transport of Dangerous Goods,"(d) Unless authorized by the President, the transport of alcoholic beverages for delivery to any
destination in Saudi Arabia is forbidden.",C,DGR,,,,,P-DGR,9.1,-,-,,,,,,,,,,,,
33,109,SUBPART A,,109.5,a,,,General,"Exceptions for Operators, Crew Members, and Passengers","(a) Subject to paragraphs (b) and (c) of this section, this part does not apply to those dangerous
goods identified in Parts 1 and 8 of the Technical Instructions, including articles and substances,
when they are—",A,,,,,,-,-,-,-,,,,,,,,,,,,
34,109,SUBPART A,,109.5,-,,,General,"Exceptions for Operators, Crew Members, and Passengers","(1) Not subject to the Technical Instructions in accordance with Part 1 of those instructions,",A,,,,,,-,-,-,-,,,,,,,,,,,,
35,109,SUBPART A,,109.5,-,,,General,"Exceptions for Operators, Crew Members, and Passengers","(2) Required aboard the aircraft in accordance with airworthiness and operational
requirements,",C,,,,,,P-DGR,3.4.1,-,-,,,,,,,,,,,,
36,109,SUBPART A,,109.5,-,,,General,"Exceptions for Operators, Crew Members, and Passengers","(3) Required aboard the aircraft for specialized purposes,",C,,,,,,P-DGR,3.4.1,-,-,,,,,,,,,,,,
37,109,SUBPART A,,109.5,-,,,General,"Exceptions for Operators, Crew Members, and Passengers","(4) Carried by passengers or crew members in accordance with Part 8 of the Technical
Instructions, or",C,,,,,,P-DGR,8.3.3,-,-,,,,,,,,,,,,
38,109,SUBPART A,,109.5,-,,,General,"Exceptions for Operators, Crew Members, and Passengers",(5) In baggage that was separated from its owner.,A,,,,,,-,-,-,-,,,,,,,,,,,,
39,109,SUBPART A,,109.5,b,,,General,"Exceptions for Operators, Crew Members, and Passengers","(b) Articles and substances intended as replacement parts for items specified in paragraphs (a)(2)
and (3) of this section, or which have been removed for replacement, must be transported on the
aircraft in accordance with this part except as specified in Chapter 2, Paragraph 2.2 of Part 1 of the
Technical Instructions.",C,,,,,,P-DGR,3.2.1,-,-,,,,,,,,,,,,
40,109,SUBPART A,,109.5,c,,,General,"Exceptions for Operators, Crew Members, and Passengers","(c) Dangerous goods excepted from this part under paragraph (a) of this section may be carried
onboard an aircraft only if those goods are transported in accordance with the applicable requirements of Parts 1 and 8 of the Technical Instructions.",C,,,,,,P-DGR,3.4,-,-,,,,,,,,,,,,
41,109,SUBPART A,,109.7,a,,,General,Certificates and Authorizations Required,"(a) No person may prepare dangerous goods for transport by air unless he holds a Dangerous
Goods Preparer Certificate (DGPC) issued by the President under GACAR § 109.41.",C,,,,,,P-DGR,3.1,-,-,,,,,,,,,,,,
42,109,SUBPART A,,109.7,b,,,General,Certificates and Authorizations Required,"(b) A shipper not certificated under GACAR § 109.41 must use the services of a dangerous goods
preparer certificated under GACAR § 109.41.",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
43,109,SUBPART A,,109.7,c,,,General,Certificates and Authorizations Required,(c) No person may transport dangerous goods by air unless authorized under GACAR § 109.43.,C,,,,,,P-DGR,3.1,-,-,,,,,,,,,,,,
44,109,SUBPART A,,109.7,d,,,General,Certificates and Authorizations Required,"(d) In addition to the certificate or authorization required under paragraph (a), (b), or (c) of this
section, no person may accept, process or transport—",A,,,,,,-,-,-,-,,,,,,,,,,,,
45,109,SUBPART A,,109.7,-,,,General,Certificates and Authorizations Required,(1) Class 1 explosive materials without an authorization from the Ministry of Interior or,C,,,,,,P-DGR,3.2,P-DGR,3.1,,,,,,,,,,,,
46,109,SUBPART A,,109.7,-,,,General,Certificates and Authorizations Required,"(2) Class 7 radioactive materials without an authorization from the KSA Nuclear and
Radiological Regulatory Commission (NRRC).",C,,,,,,P-DGR,3.2,P-DGR,5,,,,,,,,,,,,
47,109,SUBPART A,,109.9,,,,General,Dangerous Goods Security,"Each holder of a certificate or authorization issued under this part must establish dangerous goods
security measures, acceptable to the President, to minimize theft or misuse of dangerous goods that
may endanger persons, property, or the environment",A,,,,,,-,-,-,-,,,,,,,,,,,,
48,109,SUBPART A,,109.11,a,,,General,Inspections.,"(a) An operator, shipper, freight forwarder, or other person certificated or authorized under this part
must permit the GACA to carry out inspections, in the Kingdom of Saudi Arabia and elsewhere, as
may be necessary to determine compliance with this part.",A,,,,,,-,-,-,-,,,,,,,,,,,,
49,109,SUBPART A,,109.11,b,,,General,Inspections.,"(b) A GACA inspector may examine, take samples from, or seize dangerous goods that he has
reasonable grounds to suspect are being transported in violation of this part.",A,,,,,,-,-,-,-,,,,,,,,,,,,
50,109,SUBPART A,,109.11,c,,,General,Inspections.,"(c) A GACA inspector may open, or require to be opened, any baggage or package, which he has
reasonable grounds to suspect may contain dangerous goods being transported in violation of
this part. Any package opened during an inspection must, before being forwarded to the recipient,
be returned by a qualified person to a condition that complies with the Technical Instructions.",A,,,,,,-,-,-,-,,,,,,,,,,,,
51,109,SUBPART A,,109.11,d,,,General,Inspections.,"(d) Any sample taken or goods seized by a GACA inspector under this section may be retained for
as long as the GACA considers it necessary under the circumstances and may be disposed of in
such manner as the GACA considers appropriate.",A,,,,,,-,-,-,-,,,,,,,,,,,,
52,109,SUBPART B,,109.21,a,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Shipper’s Responsibilities.,"(a) Each person offering dangerous goods for transportation by air must completely and accurately
describe the contents of each package containing dangerous goods to any other person to whom
the person presents dangerous goods for transport by air.",C,,,,,,P-DGR,1.8,-,-,,,,,,,,,,,,
53,109,SUBPART B,,109.21,b,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Shipper’s Responsibilities.,"(b) The shipper of any dangerous goods by air must provide a written undertaking to re-ship the
consignment, at the shipper's cost and liability if the shipment is not cleared and received by the
consignee within 10 working days from the arrival of the consignment at any destination in Saudi
Arabia.",C,,,,,,P-DGR,1.8,-,-,,,,,,,,,,,,
54,109,SUBPART B,,109.21,c,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Shipper’s Responsibilities.,"(c) Each shipper must accurately and completely describe the contents of each package or overpack
containing dangerous goods to any person certificated or authorized under this part to whom the
person presents dangerous goods for transport by air.",C,,,,,,P-DGR,1.8,-,-,,,,,,,,,,,,
55,109,SUBPART B,,109.23,a,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,"(a) The holder of a DGPC issued under GACAR § 109.41 preparing dangerous goods for transport
by air must ensure that the goods are packed as provided for in this subpart and the Technical
Instructions.",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
56,109,SUBPART B,,109.23,b,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,"(b) Packaging used for the transport of dangerous goods by air must meet the following
requirements:",A,,,,,,-,-,-,-,,,,,,,,,,,,
57,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,(1) Packaging must—,A,,,,,,-,-,-,-,,,,,,,,,,,,
58,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,"(i) Be of good quality and securely closed to prevent leakage that may occur in normal
conditions of transport, or caused by changes in temperature, humidity, or pressure, or by
vibration.",C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
59,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,"(ii) Be suitable for the contents of the packaging and be resistant to any chemical or other
action of such dangerous goods in direct contact.",C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
60,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,(iii) Meet the material and construction specifications in the Technical Instructions.,C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
61,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,(iv) Be tested in accordance with the provisions of the Technical Instructions.,C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
62,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,"(v) Be capable of withstanding, without leakage, the pressure stated in the Technical
Instructions, where retention of a liquid is a basic function.",C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
63,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,"(2) Inner packagings must be packed, secured, or cushioned to prevent their breakage or
leakage and to control their movement within the outer packaging during normal conditions
of air transport. Cushioning and absorbent materials must not react dangerously with the
contents of the packagings.",C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
64,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,"(3) Packaging must not be reused until it has been inspected and found free from corrosion or
other damage. Where the package is re-used, all necessary measures must be taken to prevent
contamination of subsequent contents.",C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
65,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,"(4) If, because of the nature of its former contents, uncleaned empty packaging may present a
danger, it must be tightly closed and treated according to the danger it constitutes.",C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
66,109,SUBPART B,,109.23,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Packing,(5) Harmful quantities of a dangerous substance must not adhere to the outside package.,C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
67,109,SUBPART B,,109.25,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Labels,"Each DGPC holder preparing dangerous goods for transport by air must ensure that the package is
labeled with the appropriate labels in accordance with the Technical Instructions. The label must
meet the visual requirements and specifications in the Technical Instructions, communicating
information about the class of dangerous goods inside a package and any special handling
requirements for that package or class of dangerous goods.",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
68,109,SUBPART B,,109.27,a,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Markings,(a) Each DGPC holder preparing dangerous goods for transport by air must ensure that—,C,,,,,,P-DGR,3.4,-,-,,,,,,,,,,,,
69,109,SUBPART B,,109.27,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Markings,"(1) The package is marked with the proper shipping name of its contents and, when assigned,
the United Nations (UN) number and other markings as specified in the Technical
Instructions.",C,,,,,,P-DGR,3.4,-,-,,,,,,,,,,,,
70,109,SUBPART B,,109.27,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Markings,"(2) Each packaging manufactured to a specification provided for in the Technical Instructions
is marked in accordance with the Technical Instructions. Packaging must not be marked with
a packaging specification marking unless it meets the appropriate packaging specification in
the Technical Instructions.",C,,,,,,P-DGR,2.4,-,-,,,,,,,,,,,,
71,109,SUBPART B,,109.27,,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Markings,(b) Both the Arabic and English languages must be used for the markings on dangerous goods packages,C,,,,,,P-DGR,5.6,-,-,,,,,,,,,,,,
72,109,SUBPART B,,109.29,a,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Dangerous Goods Preparer Certificate Holder’s Responsibilities.,"(a) The holder of a DGPC issued under GACAR § 109.41 preparing any package or overpack of
dangerous goods for transport by air must—",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
73,109,SUBPART B,,109.29,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Dangerous Goods Preparer Certificate Holder’s Responsibilities.,"(1) Ensure that the dangerous goods are not forbidden for transport by air and are properly
classified, packed, marked, and labeled as required by this part and the Technical Instructions.",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
74,109,SUBPART B,,109.29,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Dangerous Goods Preparer Certificate Holder’s Responsibilities.,"(2) Complete, sign, and provide to the operator or ground handling agent a GACA-approved
dangerous goods transport document, containing the information required by the Technical
Instructions, unless the dangerous goods are specifically excluded in the Technical
Instructions from the requirement to have a dangerous goods transport document.",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
75,109,SUBPART B,,109.29,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Dangerous Goods Preparer Certificate Holder’s Responsibilities.,"(3) Sign a declaration, attached to the dangerous goods transport document, indicating that
the dangerous goods are fully and accurately described by their proper shipping names and
that they are classified, packed, marked, labeled, and in proper condition for transport by air in
accordance with this part and the Technical Instructions.",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
76,109,SUBPART B,,109.29,-,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Dangerous Goods Preparer Certificate Holder’s Responsibilities.,(4) Provide the shipper’s documents required under GACAR § 109.21 to the operator.,N/A,,,,,,-,-,-,-,,,,,,,,,,,,
77,109,SUBPART B,,109.29,b,,,PACKING AND SHIPPING DANGEROUS GOODS BY AIR,Dangerous Goods Preparer Certificate Holder’s Responsibilities.,"(b) Both the Arabic and English languages must be used on the dangerous goods transport
document and declaration required under paragraphs (a)(2) and (3) of this section.",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
78,109,SUBPART C,,109.41,a,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Preparer Certificate,(a) A person seeking a DGPC must submit the following to the GACA:,N/A,,,,,,-,-,-,-,,,,,,,,,,,,
79,109,SUBPART C,,109.41,-,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Preparer Certificate,"(1) An application in a form and manner acceptable to the President,",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
80,109,SUBPART C,,109.41,-,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Preparer Certificate,"(2) A dangerous goods manual as required under GACAR § 109.111, and",N/A,,,,,,-,-,-,-,,,,,,,,,,,,
81,109,SUBPART C,,109.41,-,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Preparer Certificate,(3) The qualifications of staff responsible for the handling of dangerous goods.,N/A,,,,,,-,-,-,-,,,,,,,,,,,,
82,109,SUBPART C,,109.41,b,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Preparer Certificate,"(b) If the President finds the documents and facilities satisfactory, the GACA may issue a DGPC,
which is valid for 2 years. Certificate holders must promptly advise the GACA of any changes to
their facilities, or procedures.",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
83,109,SUBPART C,,109.41,c,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Preparer Certificate,"(c) The DGPC holder must prominently display its certificate at locations where dangerous goods
are prepared for transport by air and at its principal place of business.",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.43,a,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Transport Authorization.,"(a) An applicant for a Dangerous Goods Transport Authorization (DGTA) must submit the
following to the GACA:",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.43,-,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Transport Authorization.,"(1) An application in a form and manner acceptable to the President,",N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.43,-,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Transport Authorization.,"(2) A dangerous goods manual as required under GACAR § 109.113,",C,,,NO,NO,NO,P-DGR,DGRM,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.43,-,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Transport Authorization.,"(3) The qualifications of staff responsible for the handling of dangerous goods, and",C,,,NO,NO,NO,P-DGR,1.4,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.43,-,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Transport Authorization.,(4) A list of all stations involved in the handling of dangerous goods.,N/A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.43,b,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Transport Authorization.,"(b) If the President finds the documents and facilities satisfactory, the GACA may issue a DGTA
which is valid until surrendered by the holder or amended, suspended or revoked by the
President.",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.43,c,,,CERTIFICATION AND AUTHORIZATION,Dangerous Goods Transport Authorization.,"(c) Any changes to be made to the facilities, including the addition of stations, or to procedures
must be approved by the GACA.",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.45,-,,,CERTIFICATION AND AUTHORIZATION,"Dangerous Goods Preparer Certificate or Transport Authorization Holder
Responsibilities.",Each holder of a DGPC or a DGTA must—,A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.45,a,,,CERTIFICATION AND AUTHORIZATION,"Dangerous Goods Preparer Certificate or Transport Authorization Holder
Responsibilities.","(a) Provide dangerous goods training, as prescribed in Subpart F of this part and",C,,,NO,NO,NO,P-DGR,8,-,-,,,-,,,,,,,,,
,109,SUBPART C,,109.45,b,,,CERTIFICATION AND AUTHORIZATION,"Dangerous Goods Preparer Certificate or Transport Authorization Holder
Responsibilities.",(b) Comply with the conditions and limitations of its certificate or authorization.,A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.61,a,,,OPERATOR RESPONSIBILITIES,Acceptance of Dangerous Goods,(a) A DGTA holder must not accept dangerous goods prepared for transportation by air unless—,A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.61,-,,,OPERATOR RESPONSIBILITIES,Acceptance of Dangerous Goods,"(1) The person who has prepared the goods or the DGTA holder is certificated under GACAR
§ 109.41; or",C,,,NO,NO,NO,P-DGR,4.6.2,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.61,-,,,OPERATOR RESPONSIBILITIES,Acceptance of Dangerous Goods,"(2) When the dangerous goods are prepared for transportation in a foreign Contracting State
to the Convention on International Civil Aviation, the person has prepared the goods in
accordance with the Technical Instructions and the dangerous goods regulations of that
foreign Contracting State.",C,,,NO,NO,NO,P-DGR,4.6.2,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.61,-,,,OPERATOR RESPONSIBILITIES,Acceptance of Dangerous Goods,"(3) Except when otherwise specified in the Technical Instructions, the dangerous goods are
accompanied by two copies of—",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.61,-,,,OPERATOR RESPONSIBILITIES,Acceptance of Dangerous Goods,"(i) A dangerous goods transport document and declaration, and",C,,,NO,NO,NO,P-DGR,4.1,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.61,-,,,OPERATOR RESPONSIBILITIES,Acceptance of Dangerous Goods,(ii) The shipper’s documents required under GACAR § 109.21.,C,,,NO,NO,NO,P-DGR,1.8,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.61,-,,,OPERATOR RESPONSIBILITIES,Acceptance of Dangerous Goods,"(4) The package, overpack or freight container has been inspected in accordance with the
acceptance procedures in the Technical Instructions with the appropriate checklist; and",C,,,NO,NO,NO,P-DGR,4.6.2,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.61,b,,,OPERATOR RESPONSIBILITIES,Acceptance of Dangerous Goods,"(b) A DGTA holder must develop and use an acceptance checklist to comply with paragraph (a) of
this section and record the results of the acceptance check.",A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.63,-,,,OPERATOR RESPONSIBILITIES,"Inspection for Damage, Leakage, or Contamination",A DGTA holder must handle packages as follows:,A,,,NO,NO,NO,-,-,-,-,,,-,,,,,,,,,
,109,SUBPART D,,109.63,a,,,OPERATOR RESPONSIBILITIES,"Inspection for Damage, Leakage, or Contamination",(a) Loading.,C,,,NO,NO,NO,P-DGR,4.6.3,-,-,,,-,,,,,,,,,
