No,GACAR PART,SUBPART,APPENDIX,SUBPART/ APPENDIX SECTION,SUBPART/ APPENDIXSUB SECTION,OPS AREA,AREAS,SUBPART/ APPENDIX  HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,Department,AOC,Auditor Checklist Query,,
1,121,SUBPART B,-,121.45,c,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"(c) The President may approve positions or numbers of positions other than those listed in paragraphs (a) and (b) of this section for a particular operation if the certificate holder shows it can perform the operation safely under the direction of fewer or different categories of management personnel due to—
",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,c1,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(1) The kind of operation involved;
",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,c2,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(2) The number and type of aircraft used; and
",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,c3,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(3) The area of operations.",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,d,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,(d) The title of the positions required under paragraph (a) or (b) of this section or the title and number of equivalent positions approved under paragraph (c) of this section must be set forth in the certificate holder’s operations specifications.,ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,e,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"(e) The individuals who serve in the positions required or approved under paragraph (a), (b) or (c) of this section and anyone in a position to exercise control over operations conducted under the operating certificate must—
",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,e1,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(1) Be qualified through training, experience, and expertise;",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,e2,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"(2) To the extent of their responsibilities, have a full understanding of the following materials with respect to the certificate holder’s operation:

",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,e2(i),-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(i) Aviation safety standards and safe operating practices;
",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,e2(ii),-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"(ii) GACAR;
",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,e2(iii),-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(iii) The certificate holder’s operations specifications;
",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,e2(iv),-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(iv) All appropriate maintenance and airworthiness requirements of the GACAR; and
",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,e2(v),-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(v) The manual required by GACAR § 121.139.",ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,e3,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,(3) Discharge their duties to meet applicable legal requirements and to maintain safe operations.,ORG,All 121,NO,NO,NO
1,121,SUBPART B,-,121.45,f,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"(f) Each certificate holder must—
",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.45,f1,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(1) State in the general policy provisions of the manual required by GACAR § 121.139, the duties, responsibilities, and authority of personnel required under paragraph (a) or (b) of this section;",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.45,f2,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,(2) List in the manual the names and business addresses of the individuals assigned to those positions; and,FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.45,f3,-,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,(3) Notify the President within 10 working days of any change in personnel or any vacancy in any position listed.,FLT,All 121,YES,YES,YES
1,121,SUBPART B,,121.45,g,,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"(g) The individuals who serve in the positions required under paragraph (a), (b) or (c) of this section must be acceptable to the President based on his determination of the experience, competence and knowledge of the persons nominated. The President may administer tests to confirm competence and knowledge.",ORG,All 121,NO,NO,NO
1,121,SUBPART B,,121.45,h,,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"(h) For the purposes of this part:
",FLT,All 121,YES,YES,YES
1,121,SUBPART B,,121.45,h1,,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,"
(1) The director of maintenance is responsible and accountable for administering the certificate holder’s maintenance program; and",FLT,All 121,YES,YES,YES
1,121,SUBPART B,,121.45,h2,,ALL,MANAGEMENT PERSONNEL,Management Personnel Required,(2) The chief inspector is responsible and accountable for administering the certificate holder’s required inspection program,FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,a,-,"ORG, FLT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(a) To serve as director of operations a person must—
",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,a1,-,"ORG, FLT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"
(1) Hold an airline transport pilot (ATP) certificate (airplane or rotorcraft, as applicable),",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,a2,-,"ORG, FLT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(2) Have at least 3 years’ supervisory or managerial experience within the last 6 years in a position that exercised operational control over any operations similar to those conducted under GACAR Part 121, and",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,a3,-,"ORG, FLT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(3) In the case of a person becoming a director of operations—

",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,a3(i),-,"ORG, FLT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"
(i) For the first time ever, have at least 3 years’ experience, within the past 6 years, as pilot in command (PIC) of an aircraft operated under GACAR Part 121.
",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,a3(ii),-,"ORG, FLT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(ii) In the case of a person with previous experience as a director of operations, have at least 3 years’ experience as PIC of an aircraft operated under GACAR Part 121.",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,b,-,"ORG, FLT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(b) To serve as chief pilot a person must hold an ATP certificate with appropriate ratings for at least one of the aircraft used in the certificate holder’s operation and—
",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,b1,-,"ORG, FLT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"
(1) In the case of a person becoming a chief pilot for the first time ever, have at least 3 years’ experience, within the past 6 years, as PIC of an aircraft operated under GACAR Part 121.",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,b2,-,"ORG, FLT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(2) In the case of a person with previous experience as a chief pilot, have at least 3 years’ experience, as PIC of an aircraft operated under GACAR Part 121.",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,c,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"c)To serve as director of maintenance a person must—
",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,c1,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"
(1) Hold a mechanic certificate with airframe and powerplant ratings,",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,c2,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(2) Have 1 year of experience in a position responsible for returning aircraft to service,",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,c3,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(3) Have at least 1 year of experience in a supervisory capacity under either paragraph (c)(4)(i) or (ii) of this section maintaining the same category and class of aircraft as the certificate holder uses, and",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,c4,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(4) Have 3 years’ experience within the past 6 years in one or a combination of the following—

",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,c4(i),-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"
(i) Maintaining large aircraft with 10 or more passenger seats, including at the time of appointment as director of maintenance, experience in maintaining the same category and class of aircraft as the certificate holder uses; or
",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,c4(ii),-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"
(ii) Repairing aircraft in a certificated airframe repair station rated to maintain aircraft in the same category and class of aircraft as the certificate holder uses.",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,d,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(d) To serve as chief inspector a person must—
",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,d1,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"
(1) Hold a mechanic certificate with both airframe and powerplant ratings, and have held these ratings for at least 3 years;",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,d2,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(2) Have at least 3 years of maintenance experience on different types of large aircraft with 10 or more passenger seats with an air operator or certificated repair station, 1 year of which must have been as maintenance inspector; and",FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,d3,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,(3) Have at least 1 year of experience in a supervisory capacity maintaining the same category and class of aircraft as the certificate holder uses.,FLT,All 121,YES,YES,YES
1,121,SUBPART B,-,121.49,e,-,"ORG, MNT",MANAGEMENT PERSONNEL,Management Personnel: Qualifications,"(e)A certificate holder may employ a person who does not meet the appropriate airman experience, managerial experience, or supervisory experience requirements of this section if the President finds the person has comparable experience, and can effectively perform the functions associated with the position under the applicable requirements and the procedures outlined in the certificate holder’s manual. The President may authorize relief under this paragraph after consideration of the size and scope of the operation and the qualifications of the intended personnel. The President may terminate at any time any relief issued under this paragraph.",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.69,a,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Applicability,"This subpart prescribes rules for obtaining approval of—
(a) Routes for scheduled operations and
",FLT,All 121,NO,NO,NO
1,121,SUBPART C,-,121.69,b,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Applicability,(b) Routes and areas for unscheduled operations.,FLT,All 121,NO,NO,NO
1,121,SUBPART C,-,121.73,a,-,ALL,APPROVAL OF ROUTES AND AREAS,General,"(a) Scheduled operations. Each certificate holder conducting scheduled operations seeking a route approval must show—
",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,a1,-,ALL,APPROVAL OF ROUTES AND AREAS,General,"
(1) It is able to satisfactorily conduct operations between each aerodrome over that route or route segment; and",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,a2,-,ALL,APPROVAL OF ROUTES AND AREAS,General,(2) The facilities and services required by this subpart are available and adequate for the proposed operation.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,b,-,ALL,APPROVAL OF ROUTES AND AREAS,General,"(b) Paragraph (a) of this section does not require actual flight over a route or route segment if the certificate holder shows the flight is not essential to safety, considering the availability, and adequacy of aerodromes, lighting, maintenance, communication, navigation, fueling, ground, and aircraft radio facilities, and the ability of the personnel to be used in the proposed operation.",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,c,-,ALL,APPROVAL OF ROUTES AND AREAS,General,"(c) Unscheduled operations. Each certificate holder conducting unscheduled operations seeking a route and area approval must show—
",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,c1,-,ALL,APPROVAL OF ROUTES AND AREAS,General,"
(1) It is able to conduct operations within the Kingdom of Saudi Arabia under paragraphs (c)(3) and (4) of this section;",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,c2,-,ALL,APPROVAL OF ROUTES AND AREAS,General,(2) It is able to able to conduct operations under the applicable requirements for each area outside the Kingdom of Saudi Arabia for which authorization is required;,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,c3,-,ALL,APPROVAL OF ROUTES AND AREAS,General,"(3) That it is equipped and able to conduct operations over, and use the navigation facilities associated with, the KSA airways, foreign airways, or advisory routes to be used;
",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,c4,-,ALL,APPROVAL OF ROUTES AND AREAS,General,"(4) That it will conduct all instrument flight rules (IFR) operations over KSA airways, foreign airways, controlled airspace, or advisory routes; and",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,c5,-,ALL,APPROVAL OF ROUTES AND AREAS,General,(5) The facilities and services required by this subpart are available and adequate for the proposed operation.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.73,d,-,ALL,APPROVAL OF ROUTES AND AREAS,General,"(d) All operations. Notwithstanding paragraph (c)(4) of this section, the President may approve a route outside of controlled airspace if the certificate holder shows the route is safe for operations and the President finds that traffic density is such that an acceptable level of safety can be maintained. The certificate holder may not use a route unless it is approved by the President and is listed in the certificate holder’s operations specifications.",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,a,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(a) Scheduled operations. Each certificate holder conducting scheduled operations must show that each route it submits for approval has enough aerodromes that are properly equipped and adequate for the proposed operation, considering such items as size, surface, obstructions, facilities, public protection, lighting, navigation and communications aids, and Air Traffic Service.",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,b,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(b) Unscheduled operations. No certificate holder conducting any unscheduled operations may use any aerodrome unless it is properly equipped and adequate for the proposed operation, considering such items as size, surface, obstructions, facilities, public protection, lighting, navigation and communications aids, and Air Traffic Service.",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(c) Each certificate holder conducting scheduled or unscheduled operations must show it has an approved system for obtaining, maintaining, and distributing current aeronautical data to appropriate personnel for each aerodrome it uses to ensure a safe operation at that aerodrome. The aeronautical data must include the following:",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c1 ,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,(1) Aerodromes— ,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c1 (i),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data, (i) Facilities.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c1 (ii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(ii) Public protection, for extended operations (ETOPS) beyond 180 minutes or operations in the North Polar and South Polar area, this includes facilities at each aerodrome or in the immediate area sufficient to protect the passengers from the elements and to see to their welfare.",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c1 (iii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,(iii) Navigation and communications aids.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c1 (iv),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(iv) Construction affecting takeoff, landing, or ground operations.",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c1 (v),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,(v) Air traffic facilities.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c2 ,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(2) Runways, clearways and stopways—
",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c2 (i),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"
(i) Dimensions,",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c2 (ii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(ii) Surface,",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c2 (iii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(iii) Marking and lighting systems, and",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c2 (iv),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,(iv) Elevation and gradient.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c3,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,(3) Displaced thresholds— ,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c3 (i),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data," (i) Location,",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c3 (ii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(ii) Dimensions, and",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c3 (iii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,(iii) Takeoff or landing or both.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c4 ,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(4) Obstacles—
",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c4 (i),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"
(i) Those affecting takeoff and landing performance computations under Subpart F of this part and",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c4 (ii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,(ii) Controlling obstacles.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c5 ,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(5) Instrument flight procedures—
",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c5 (i),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"
(i) Departure procedure,",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c5 (ii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(ii) Approach procedure, and",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c5 (iii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,(iii) Missed approach procedure.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c6,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"(6) Special information—
",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c6 (i),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"
(i) Runway visual range (RVR) measurement equipment and",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,c6 (ii),-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,(ii) Prevailing winds under low visibility conditions.,FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.77,d,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Aerodromes: Required Data,"d) If the President finds revisions are necessary for the continued adequacy of the certificate holder’s system for collection, dissemination, and usage of aeronautical data that has been granted approval, the certificate holder must, after notification by the President, make those revisions in the system. A certificate holder may petition the President to reconsider the notice to make a change under the specified procedures in GACAR Part 13.",FLT,All 121,YES,YES,YES
1,121,SUBPART C,-,121.81,,-,"FLT, DSP",APPROVAL OF ROUTES AND AREAS,Limitations on Types of Routes,"Unless approved by the President under Appendix E to this part and authorized in the certificate holder’s operations specifications, no certificate holder may operate a turbine engine powered aircraft over a route that contains a point—
",FLT,All 121,YES,YES,YES
