No,GACAR PART,SUBPART,APPENDIX,SECTION,SUB-SECTION,SUB-SECTION,OPS AREA,AREAS,SUBPART / APPENDIX HEADING,SUBPART SECTION / APPENDIX SECTION HEADING,REGULATION  STATEMENT,,,,,,
1,4,SUBPART A,-,4.5,,c6,-,,GENERAL,Applicability.,"(6) Aeronautical Information Service providers approved under GACAR § 175, Instrument Flight Procedures Service provider certificated under the provisions of GACAR § 172, and Meteorological Services providers operating in accordance with
requirements of GACAR § 179.",,,,,,
1,4,SUBPART A,-,4.5,,d1 ,-,,GENERAL,Applicability.,"(d) The following occurrences must also be reported:
(1) Suspected unapproved or bogus parts used or intended for use on aeronautical products.",,,,,,
1,4,SUBPART A,-,4.5,,d2,-,,GENERAL,Applicability.,(2) A directed bright light or laser attack on an aircraft or air traffic control facility.,,,,,,
1,4,SUBPART A,-,4.5,,d3,-,,GENERAL,Applicability.,(3) Pilots reporting unlawful interference required by GACAR § 91.15(b) and suspected bomb threats.,,,,,,
1,4,SUBPART A,-,4.5,,e,-,,GENERAL,Applicability.,(e) This part stipulates the requirement for certificate holders to investigate serious incidents and submit reports to the AIB/GACA.,,,,,,
1,4,SUBPART A,-,4.5,,f,-,,GENERAL,Applicability.,"(f) This part stipulates the requirements for submitting Operational/Engineering statistics and Safety Performance reports by aircraft operators, repair stations, ANS providers,
aerodromes, and ground services providers.",,,,,,
1,4,SUBPART A,-,4.7,,a,-,,GENERAL,Mandatory and Voluntary Reporting System.,"(a) Each organization certificated or authorized by GACA as referred in § 4.5 must establish a mandatory reporting system to facilitate the collection of details of occurrences within the
organization.",,,,,,
1,4,SUBPART A,-,4.7,,b,-,,GENERAL,Mandatory and Voluntary Reporting System.,(b) Each organization certificated or authorized by GACA as referred in § 4.5 must establish a voluntary reporting system to facilitate the collection of details of occurrences that may not be captured by the mandatory reporting system. Any individual in the organization can report safety issues through the internal reporting channel.,,,,,,
1,4,SUBPART A,-,4.7,,c,-,,GENERAL,Mandatory and Voluntary Reporting System.,"(c) Organizations depending on the size and complexity, must designate one or more persons tohandle independently the collection, evaluation, processing, analysis, and storage of details of occurrences reported.",,,,,,
1,4,SUBPART A,-,4.7,,d,-,,GENERAL,Mandatory and Voluntary Reporting System.,"(d) The details of internal occurrence reporting procedures for the system referred in § 4.7 (a) and (b), including the provision for protection of reporting person and reported information under
voluntary reporting must be described in the organization’s procedure manual.",,,,,,
1,4,SUBPART A,-,4.7,,e,-,,GENERAL,Mandatory and Voluntary Reporting System.,"(e) Under voluntary safety reporting system, any person can report aviation safety issues to the President using the GACA web-based reporting system or hard copy enclosed in a cover
mentioning “Confidential Report”.",,,,,,
1,4,SUBPART A,-,4.9,,a,-,,GENERAL,Language if Notification and Reports,(a) All notifications required under Subpart B and C of this part must be prepared in English or Arabic languages.,,,,,,
1,4,SUBPART A,-,4.9,,b,-,,GENERAL,Language if Notification and Reports,(b) All reports required under Subpart D must be prepared in the English language.,,,,,,
1,4,SUBPART B,-,4.11,,a,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,"(a) Each pilot-in-command of an aircraft involved in an accident or serious incident must notify both the President and Aviation Investigation Bureau (AIB) as soon as practicable. If the PIC is unable to report or the aircraft is missing, the operator must notify the accident.",,,,,,
1,4,SUBPART B,-,4.11,,b1,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,"(b) The accident or incident notification referred to in § 4.9 (a) must be made in a form and manner acceptable to the President. The minimum information required in the initial notification must include, where applicable and ascertainable:
(1) Name of the operator/owner",,,,,,
1,4,SUBPART B,-,4.11,,b2,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,"(2) Date, time, and place of the accident / serious incident; and",,,,,,
1,4,SUBPART B,-,4.11,,b3,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,"(3) Type, nationality, and registration marks of the aircraft; and",,,,,,
1,4,SUBPART B,-,4.11,,b4,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,(4) Type of operation; and,,,,,,
1,4,SUBPART B,-,4.11,,b5,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,(5) Nature of the accident / serious incident,,,,,,
1,4,SUBPART B,-,4.11,,b6,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,"(6) Position or last known position of the aircraft referring to an easily defined
geographical point; and",,,,,,
1,4,SUBPART B,-,4.11,,b7,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,(7) Name of the pilot-in-command of the aircraft,,,,,,
1,4,SUBPART B,-,4.11,,b8,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,(8) The last point of departure of the aircraft,,,,,,
1,4,SUBPART B,-,4.11,,b9,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,(9) Next point of intended landing; and,,,,,,
1,4,SUBPART B,-,4.11,,b10,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,"(10) Description of the sky condition, precipitation, wind velocity, visibility, and the number of persons on board the aircraft.",,,,,,
1,4,SUBPART B,-,4.11,,b11,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,(11)Number of fatalities and seriously injured including crew members,,,,,,
1,4,SUBPART B,-,4.11,,b12,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,(12)Number of fatalities and seriously injured on the ground due to the accident; and,,,,,,
1,4,SUBPART B,-,4.11,,b13,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,(13)Details of damage to the aircraft.,,,,,,
1,4,SUBPART B,,4.11,,,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Accidents and Serious Incidents,Aircraft operators must report the serious incidents listed in Appendix A of this part.,,,,,,
1,4,SUBPART B,,4.13,,a,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Reporting details of Accident and Serious Incident,"(a) The PIC must report the accident/incident details in a form and manner acceptable to the President and the AIB within 48 hours of the occurrence. If the PIC is unable to report, the
operator must submit the report.",,,,,,
1,4,SUBPART B,,4.13,,b,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Reporting details of Accident and Serious Incident,"(b) The details required in § 4.11 (a) must include a statement by each flight crew member who was on the aircraft at the time of the accident or serious incident, detailing the facts, conditions, and circumstances relating to the accident.",,,,,,
1,4,SUBPART B,,4.13,,c,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Reporting details of Accident and Serious Incident,"(c) Where a flight crew member is incapacitated, the statement required in § 4.11 (b) shall be submitted as soon as the flight crew member is able.",,,,,,
1,4,SUBPART B,,4.13,,d,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Reporting details of Accident and Serious Incident,"(d) Each AIS provider certificated under GACAR Part 175 and IFPS provider certificated under GACAR Part 172 must submit an incident report related to promulgated information or flight procedures within 24 hours of the incident. The report must contain a brief description of the incident mentioning the name of the notifying or reporting person, publication, date, and time of the incident.",,,,,,
1,4,SUBPART B,,4.13,,e,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Reporting details of Accident and Serious Incident,"(e) The operator of an aircraft carrying dangerous goods that is involved in a dangerous goods related accident or serious incident must notify the President as soon as practicable
and report the details within 48 hours of the occurrence. Any dangerous goods accidents and serious incident other than onboard occurrences must be notified and reported by the concerned ground service agencies, freight forwarders /packers involved.",,,,,,
1,4,SUBPART B,,4.15,,1,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,"The incidents that are not classified under serious incidents must be reported to the President as soon as practicable. The incident notification must include at least the
following information:
(1) Name of the organization and contact details",,,,,,
1,4,SUBPART B,,4.15,,2,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,"(2) Date, time, and place of the incident; and",,,,,,
1,4,SUBPART B,,4.15,,3,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,"(3) Brief description of events, identify the applicable aircraft, vehicles or system, aerodrome,and publication such as map, charts, and procedures; class and or division of dangerous
goods involved and the extent of damage to the aircraft or equipment or injury to the person.",,,,,,
1,4,SUBPART B,,4.15,,a,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,"The following incidents are to be notified to the President.
(a) All incidents related to aircraft operations under the operator’s certification/authorization as applicable in accordance with GACAR Part 121, Part 125, Part 135, and
Part 91. The incidents involving transportation of dangerous goods by air under theprovisions of GACAR part 109. Aircraft operators must report the significant incidents listed in Appendix B of this part.",,,,,,
1,4,SUBPART B,,4.15,,b,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,"(b) Any incidents related to technical conditions, maintenance, and repair of the aircraft operating under the approvals or certificate of authorization as mentioned in 4.13(a) and
GACAR Part 145. Aircraft maintenance organizations must report the incidents listed in Appendix C of this part.",,,,,,
1,4,SUBPART B,,4.15,,c1,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,"(c) Incidents of facility malfunction and promulgated information incidents as appropriate to the below mentioned service providers:
(1) ATS providers certified under GACAR Part 171; and",,,,,,
1,4,SUBPART B,,4.15,,c2,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,(2) Instrument Flight Procedures service provider certified under GACAR Part 172.,,,,,,
1,4,SUBPART B,,4.15,,c3,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,(3) Aeronautical Telecommunication Service providers operating under the provisions of GACAR Part 173.,,,,,,
1,4,SUBPART B,,4.15,,c4,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,(4) AIS providers certified under GACAR Part 175; and,,,,,,
1,4,SUBPART B,,4.15,,c5,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,(5) Meteorological service providers operating under the provisions of GACAR Part 179.,,,,,,
1,4,SUBPART B,,4.15,,d,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,"ANS providers must report the incidents listed in Appendix D of this part.
(d) Incidents related to Aerodromes or Heliport operators certified/authorized under GACAR Part 139, Part 138, and Part 137 as applicable. The incidents listed in Appendix E
of this part must be reported by the aerodrome services providers.",,,,,,
1,4,SUBPART B,,4.15,,e,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Notification of Incidents,(e) Incidents related to Ground Service providers approved under GACAR part 151. Ground services provider must report the incidents listed in Appendix F of this part.,,,,,,
1,4,SUBPART B,,4.17,,a,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Reporting Details of Incidents,"(a) Notwithstanding the notification of incidents required under GACAR § 4.13, the person or operator involved in an incident must provide the President with details of the incidents and related remedial measures within 96 hours of the incident. The report must clearly state details of corrective action to restore the facility, rectify the defect, revise procedures, or any other measures such as personnel training.",,,,,,
1,4,SUBPART B,,4.17,,b,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Reporting Details of Incidents,(b) The reporting of details of the incident mentioned in § 4.15 (a) must be in a form and manner acceptable to the President.,,,,,,
1,4,SUBPART B,,4.19,,a,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Investigation of Incidents,"(a) Unless otherwise notified by the KSA AIB, where an aircraft incident investigation is  to be performed by the KSA AIB, a certified organization mentioned in § 4.13 must investigate all serious incidents to identify the root causes and initiate timely remedial actions. The incident investigation report must be submitted to the President as per the acceptable timeline.",,,,,,
1,4,SUBPART B,,4.19,,b,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Investigation of Incidents,"(b) All scheduled commercial air operators must establish a Permanent Investigation Board (PIB). Unscheduled commercial air operators, aerial operators, operators under GACAR Part 125, and pilot schools or training centers using aircraft must have provisions to investigate serious incidents using internal resources or appropriate external agency acceptable to the President.",,,,,,
1,4,SUBPART B,,4.19,,c,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Investigation of Incidents,"(c) In case of an aircraft incident of authorization holder operating under GACAR Part 91 or owner-operated aircraft, where the internal investigation may not be feasible, the
President will investigate the serious incident.",,,,,,
1,4,SUBPART B,,4.19,,d,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Investigation of Incidents,"(d) Air Navigation Service providers must establish a Board and investigate all serious incidents, including AIRPROX and other reportable incidents.",,,,,,
1,4,SUBPART B,,4.19,,e,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Investigation of Incidents,(e) Public Aerodrome operators and Ground Service providers must establish a Board and investigate all ground accidents and serious incidents. The aircraft operator is responsible for investigating ground accidents if an aircraft is involved.,,,,,,
1,4,SUBPART B,,4.19,,f,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Investigation of Incidents,"(f) All accidents and serious incidents involving dangerous goods must be investigated by a board constituted by the concerned aircraft operator or ground service providers
based on the occurrence involved onboard or on-ground.",,,,,,
1,4,SUBPART B,,4.19,,g,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Investigation of Incidents,"(g) On completing the investigation, the aircraft operators and service providers must submit the investigation report to the President no later than 90 days after the incident.",,,,,,
1,4,SUBPART B,,4.19,,h,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Investigation of Incidents,"(h) The investigation report must be in a form and manner acceptable to the President. The certificate holders may propose any specific actions to the President to prevent the
recurrence of similar incidents in the industry.",,,,,,
1,4,SUBPART B,,4.19,,i,-,,NOTIFICATION AND REPORTING OF ACCIDENTS AND INCIDENTS,Investigation of Incidents,"(i) In Aerodromes where no certificated ground service providers are available to report any ground services-related occurrences, the aerodrome operator or the air operator responsible to perform such services must notify, report, and investigate such occurrences.",,,,,,
1,4,SUBPART C,,4.21,,a,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Aircraft/ Component Major Defects,"(a) For the purpose of this part, a major defect is defined as follows:
An aircraft defect that may affect the safety of the aircraft or cause the aircraft to become a danger to persons or property; or a component defect may affect the aircraft's safety or cause a danger to persons or property if such component is fitted to an aircraft.",,,,,,
1,4,SUBPART C,,4.21,,b,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Aircraft/ Component Major Defects,"(b) For the purpose of this part, a minor defect means a typical defect with minor influence on safety.",,,,,,
1,4,SUBPART C,,4.21,,c1,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Aircraft/ Component Major Defects,"(c) An aircraft operator must notify the President of all major defects as soon as practicable. The notification must contain at least the following details:
(1) Name of the owner/operator",,,,,,
1,4,SUBPART C,,4.21,,c2,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Aircraft/ Component Major Defects,(2) Aircraft type and registration mark,,,,,,
1,4,SUBPART C,,4.21,,c3,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Aircraft/ Component Major Defects,(3) Date and place of occurrence of the defect; and,,,,,,
1,4,SUBPART C,,4.21,,c4,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Aircraft/ Component Major Defects,"(4) Details of the defect(s) and the rectification actions, if any.",,,,,,
1,4,SUBPART C,,4.21,,d,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Aircraft/ Component Major Defects,"(d) The operator must report details of major defects to the President within 96 hours of the occurrence and reporting of major defects must be in a form and manner acceptable to the
President. The major defects listed in Appendix G of this part must be reported to the President.",,,,,,
1,4,SUBPART C,,4.21,,e,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Aircraft/ Component Major Defects,"(e) When an operator outsources the aircraft maintenance activities to an approved aircraft maintenance organization (AMO), the defect reporting responsibility of the operator may be transferred to the maintenance organization. In such a case, both the operator and maintenance organization must set out procedures in the maintenance control and procedure manual,
respectively.",,,,,,
1,4,SUBPART C,,4.23,,a,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,"(a) All scheduled commercial air operators approved under GACAR Part 121, Part 135, and maintenance organizations approved under GACAR Part 145 must establish a system for
investigating major defects.",,,,,,
1,4,SUBPART C,,4.23,,b,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,"(b) All non-commercial operators certified under Part 125 and authorization holders operating under Part 91 and all pilot schools and training centres using aircraft may utilize the service of the maintenance organization, manufacturers, or other suitable sources for the investigation of major defects.",,,,,,
1,4,SUBPART C,,4.23,,c,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,"(c) The major defects referred to in § 4.19 must be investigated by qualified mechanics. A representative from GACA may associate in the investigation process at the discretion of the
President who may seek the investigating organization to submit components, worksheets, documents, or other information relevant to the investigation.",,,,,,
1,4,SUBPART C,,4.23,,d,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,"(d) The investigations of major defects must be completed within 30 days of the date of occurrence. If the investigation is likely to take more than a month, the operator must submit a
progress report to the President stating the reasons. However, the investigation must be completed within 90 days of occurrence.",,,,,,
1,4,SUBPART C,,4.23,,e1,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,"(e) The operators or investigation organizations must submit a detailed investigation report to the President. The investigation report must contain at least the following information:
(1) Identification of parts/ systems involved; and",,,,,,
1,4,SUBPART C,,4.23,,e2,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,(2)Apparent or actual cause of the defect,,,,,,
1,4,SUBPART C,,4.23,,e3,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,(3)No of flight hours/landings/cycles since new and since the last inspection for life affected component,,,,,,
1,4,SUBPART C,,4.23,,e4,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,(4)Corrective actions,,,,,,
1,4,SUBPART C,,4.23,,e5,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,"(5)Disciplinary action taken against the staff, if any",,,,,,
1,4,SUBPART C,,4.23,,e6,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,"(6)Whether the investigation is closed or open, including the reasons for not closing the investigation.",,,,,,
1,4,SUBPART C,,4.23,,f,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,"(f) The objective of the investigation mentioned in § 4.17 is to determine the root causes of the defect rather than identifying the personnel. The organization may take disciplinary action
against the erring person if it is established that the failure was due to careless or wilful negligence of the person.",,,,,,
1,4,SUBPART C,,4.23,,g,-,,REPORTING AND INVESTIGATION OF DEFECTS,Investigation of Major Defects,"(g) The aircraft operator must consider all defects, including minor and repetitive, for computing the statistics and determining components/systems reliability indices",,,,,,
1,4,SUBPART C,,4.25,,a,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Mechanical Interruptions.,"(a) Each scheduled commercial operator must submit mechanical interruption reports to the president as referred in GACAR § 121.1557, § 135.697, to review the failures, malfunctions, or other technical issues causing mechanical delays of over 15 minutes. The review must be conducted by appropriately qualified persons and maintain all review records.",,,,,,
1,4,SUBPART C,,4.25,,b,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Mechanical Interruptions.,(b) The scheduled commercial operators referred to in § 4.23 (a) must submit a consolidated mechanical interruption report every month.,,,,,,
1,4,SUBPART C,,4.25,,c,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting of Mechanical Interruptions.,"(c) Operators under Part 125 must establish a system to ensure that all mechanical irregularities referred to in § 125.457 are entered in the maintenance log and resolved timely for the safe
operation of the aircraft. Mechanical irregularities reports must be submitted to the President every six months.",,,,,,
1,4,SUBPART C,,4.27,,a,-,,REPORTING AND INVESTIGATION OF DEFECTS,Review of Mechanical Interruption Reports,(a) Scheduled commercial air operators must carry out a “Daily Review” of the defects reported during the previous day flights.,,,,,,
1,4,SUBPART C,,4.27,,b,-,,REPORTING AND INVESTIGATION OF DEFECTS,Review of Mechanical Interruption Reports,(b) A representative from the GACA at his discretion may associate with the operator’s daily review meeting or inspection/investigation related to mechanical interruption based on the nature and number of the interruptions and defects reported.,,,,,,
1,4,SUBPART C,,4.27,,c,-,,REPORTING AND INVESTIGATION OF DEFECTS,Review of Mechanical Interruption Reports,"(c) The President may advise certificate holders to furnish additional information on the mechanical interruptions or defects reviewed, especially on repeated defects and interruptions. The President may further assess the adequacy of the maintenance resources and internal procedures to identify root causes and prevent such recurrence.",,,,,,
1,4,SUBPART C,,4.27,,d,-,,REPORTING AND INVESTIGATION OF DEFECTS,Review of Mechanical Interruption Reports,"(d) Unscheduled commercial air operators may review all mechanical interruptions/defects periodically depending upon the type of operation and size of the fleet of aircraft, as acceptable to the President.",,,,,,
1,4,SUBPART C,,4.27,,e,-,,REPORTING AND INVESTIGATION OF DEFECTS,Review of Mechanical Interruption Reports,"(e) Part 125 operators must establish a system of recording, reviewing, and resolving mechanical irregularities as acceptable to the President.",,,,,,
1,4,SUBPART C,,4.29,,a,-,,REPORTING AND INVESTIGATION OF DEFECTS,Service Difficulty Reporting,"(a) All commercial operators certificated under GACAR Part 121 and Part 135 must submit Service Difficulties Report (SDR) to the President as per the requirements stipulated in GACAR
§ 121.1553 and § 135.695, respectively.",,,,,,
1,4,SUBPART C,,4.29,,b,-,,REPORTING AND INVESTIGATION OF DEFECTS,Service Difficulty Reporting,(b) Non-commercial operators certificated under GACAR Part 125 must submit Service Difficulties Report to the President as per the requirements stipulated in GACAR § 125.539.,,,,,,
1,4,SUBPART C,,4.29,,c,-,,REPORTING AND INVESTIGATION OF DEFECTS,Service Difficulty Reporting,(c) Repair stations certificated under GACAR Part 145 must submit Service Difficulties Report to the President as per the requirements stipulated in GACAR § 145.103.,,,,,,
1,4,SUBPART C,,4.29,,d,-,,REPORTING AND INVESTIGATION OF DEFECTS,Service Difficulty Reporting,"(d) Notwithstanding the requirements given in § 4.27 (a), (b) and (c) for submission of the reports, the certificate holders must forward a copy of Service Difficulties Reports to the aircraft
Type Certificate holder and forward a copy of the TC holder’s corrective actions to the President.",,,,,,
1,4,SUBPART C,,4.31,,a,-,,REPORTING AND INVESTIGATION OF DEFECTS,Reporting and Reviewing of System Failures,"(a) ANS providers must establish a system for recording, reviewing, and rectifying major failures on communication, navigation, and radar equipment. The occurrence reporting system must also include reporting deviations in operating procedures and managing changes in the ANS system. A
periodic report on facilities and system failures, including internal audit findings, must be submitted in a form and manner acceptable to the President.",,,,,,
